"";"IDCNTRY";"dvar";"refpctile";"comppctile";"groupvar";"refgroup";"compgroup";"gap";"gap_se";"cgap";"cgap_se";"gapdiff";"gapdiff_se";"gapdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Azerbaijan, Republic of";"ASRREA0";10;50;"ASBG01";"Girl";"Girl";124,715594;8,80979875825923;124,715594;8,80979875825923;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"2";"Azerbaijan, Republic of";"ASRREA0";10;50;"ASBG01";"Girl";"Boy";124,715594;8,80979875825923;132,071268;8,08552919026545;7,35567400000002;8,61912759175181;0,853412821854399;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"3";"Azerbaijan, Republic of";"ASRREA0";10;50;"ASBG01";"Boy";"Girl";132,071268;8,08552919026545;124,715594;8,80979875825923;-7,35567400000002;8,61912759175181;-0,853412821854399;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"4";"Azerbaijan, Republic of";"ASRREA0";10;50;"ASBG01";"Boy";"Boy";132,071268;8,08552919026545;132,071268;8,08552919026545;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"5";"Azerbaijan, Republic of";"ASRREA0";10;90;"ASBG01";"Girl";"Girl";212,643354;10,3258232915863;212,643354;10,3258232915863;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"6";"Azerbaijan, Republic of";"ASRREA0";10;90;"ASBG01";"Girl";"Boy";212,643354;10,3258232915863;220,793054;8,90719388272398;8,14969999999995;9,12394766786555;0,893220818078901;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"7";"Azerbaijan, Republic of";"ASRREA0";10;90;"ASBG01";"Boy";"Girl";220,793054;8,90719388272398;212,643354;10,3258232915863;-8,14969999999995;9,12394766786555;-0,893220818078901;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"8";"Azerbaijan, Republic of";"ASRREA0";10;90;"ASBG01";"Boy";"Boy";220,793054;8,90719388272398;220,793054;8,90719388272398;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"9";"Azerbaijan, Republic of";"ASRREA0";50;90;"ASBG01";"Girl";"Girl";87,92776;4,90520660400365;87,92776;4,90520660400365;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"10";"Azerbaijan, Republic of";"ASRREA0";50;90;"ASBG01";"Girl";"Boy";87,92776;4,90520660400365;88,721786;4,08708256625262;0,794025999999928;4,88018182071816;0,162704183813193;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"11";"Azerbaijan, Republic of";"ASRREA0";50;90;"ASBG01";"Boy";"Girl";88,721786;4,08708256625262;87,92776;4,90520660400365;-0,794025999999928;4,88018182071816;-0,162704183813193;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"12";"Azerbaijan, Republic of";"ASRREA0";50;90;"ASBG01";"Boy";"Boy";88,721786;4,08708256625262;88,721786;4,08708256625262;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"13";"Australia";"ASRREA0";10;50;"ASBG01";"Girl";"Girl";109,44567;5,95604747501226;109,44567;5,95604747501226;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"14";"Australia";"ASRREA0";10;50;"ASBG01";"Girl";"Boy";109,44567;5,95604747501226;125,510964;6,16645189043801;16,065294;7,61150303367774;2,11065986953139;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"15";"Australia";"ASRREA0";10;50;"ASBG01";"Boy";"Girl";125,510964;6,16645189043801;109,44567;5,95604747501226;-16,065294;7,61150303367774;-2,11065986953139;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"16";"Australia";"ASRREA0";10;50;"ASBG01";"Boy";"Boy";125,510964;6,16645189043801;125,510964;6,16645189043801;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"17";"Australia";"ASRREA0";10;90;"ASBG01";"Girl";"Girl";199,015206;7,79178230735217;199,015206;7,79178230735217;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"18";"Australia";"ASRREA0";10;90;"ASBG01";"Girl";"Boy";199,015206;7,79178230735217;217,312368;7,65107477465452;18,297162;9,58274237963357;1,90938682009102;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"19";"Australia";"ASRREA0";10;90;"ASBG01";"Boy";"Girl";217,312368;7,65107477465452;199,015206;7,79178230735217;-18,297162;9,58274237963357;-1,90938682009102;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"20";"Australia";"ASRREA0";10;90;"ASBG01";"Boy";"Boy";217,312368;7,65107477465452;217,312368;7,65107477465452;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"21";"Australia";"ASRREA0";50;90;"ASBG01";"Girl";"Girl";89,569536;4,51338096934282;89,569536;4,51338096934282;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"22";"Australia";"ASRREA0";50;90;"ASBG01";"Girl";"Boy";89,569536;4,51338096934282;91,801404;3,83856060020629;2,23186799999996;5,55097875617216;0,402067472789071;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"23";"Australia";"ASRREA0";50;90;"ASBG01";"Boy";"Girl";91,801404;3,83856060020629;89,569536;4,51338096934282;-2,23186799999996;5,55097875617216;-0,402067472789071;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"24";"Australia";"ASRREA0";50;90;"ASBG01";"Boy";"Boy";91,801404;3,83856060020629;91,801404;3,83856060020629;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"25";"Austria";"ASRREA0";10;50;"ASBG01";"Girl";"Girl";86,57198;5,10456719015821;86,57198;5,10456719015821;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"26";"Austria";"ASRREA0";10;50;"ASBG01";"Girl";"Boy";86,57198;5,10456719015821;95,959856;6,51008820180311;9,38787600000001;7,05154104301161;1,33132260632643;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"27";"Austria";"ASRREA0";10;50;"ASBG01";"Boy";"Girl";95,959856;6,51008820180311;86,57198;5,10456719015821;-9,38787600000001;7,05154104301161;-1,33132260632643;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"28";"Austria";"ASRREA0";10;50;"ASBG01";"Boy";"Boy";95,959856;6,51008820180311;95,959856;6,51008820180311;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"29";"Austria";"ASRREA0";10;90;"ASBG01";"Girl";"Girl";160,780756;6,334893420212;160,780756;6,334893420212;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"30";"Austria";"ASRREA0";10;90;"ASBG01";"Girl";"Boy";160,780756;6,334893420212;170,863826;6,92711716974646;10,08307;7,24748815821664;1,39125028973915;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"31";"Austria";"ASRREA0";10;90;"ASBG01";"Boy";"Girl";170,863826;6,92711716974646;160,780756;6,334893420212;-10,08307;7,24748815821664;-1,39125028973915;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"32";"Austria";"ASRREA0";10;90;"ASBG01";"Boy";"Boy";170,863826;6,92711716974646;170,863826;6,92711716974646;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"33";"Austria";"ASRREA0";50;90;"ASBG01";"Girl";"Girl";74,208776;4,247508415552;74,208776;4,247508415552;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"34";"Austria";"ASRREA0";50;90;"ASBG01";"Girl";"Boy";74,208776;4,247508415552;74,90397;3,90121812480401;0,695193999999992;5,53357393753853;0,12563200706219;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"35";"Austria";"ASRREA0";50;90;"ASBG01";"Boy";"Girl";74,90397;3,90121812480401;74,208776;4,247508415552;-0,695193999999992;5,53357393753853;-0,12563200706219;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"36";"Austria";"ASRREA0";50;90;"ASBG01";"Boy";"Boy";74,90397;3,90121812480401;74,90397;3,90121812480401;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
