"";"IDCNTRY";"percentile";"dvar";"groupvar";"refgroup";"compgroup";"val";"val_se";"cval";"cval_se";"valdiff";"valdiff_se";"valdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Azerbaijan, Republic of";10;"ASRREA0";"ASBG01";"Girl";"Girl";364,619458;10,4217637913816;364,619458;10,4217637913816;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"2";"Azerbaijan, Republic of";10;"ASRREA0";"ASBG01";"Girl";"Boy";364,619458;10,4217637913816;346,05649;9,21565709028554;-18,562968;8,76745699254145;-2,11725794786238;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"3";"Azerbaijan, Republic of";10;"ASRREA0";"ASBG01";"Boy";"Girl";346,05649;9,21565709028554;364,619458;10,4217637913816;18,562968;8,76745699254145;2,11725794786238;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"4";"Azerbaijan, Republic of";10;"ASRREA0";"ASBG01";"Boy";"Boy";346,05649;9,21565709028554;346,05649;9,21565709028554;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"5";"Azerbaijan, Republic of";50;"ASRREA0";"ASBG01";"Girl";"Girl";489,335052;5,04210381178773;489,335052;5,04210381178773;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"6";"Azerbaijan, Republic of";50;"ASRREA0";"ASBG01";"Girl";"Boy";489,335052;5,04210381178773;478,127758;4,51065252520123;-11,207294;4,53039428067103;-2,47380102164971;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"7";"Azerbaijan, Republic of";50;"ASRREA0";"ASBG01";"Boy";"Girl";478,127758;4,51065252520123;489,335052;5,04210381178773;11,207294;4,53039428067103;2,47380102164971;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"8";"Azerbaijan, Republic of";50;"ASRREA0";"ASBG01";"Boy";"Boy";478,127758;4,51065252520123;478,127758;4,51065252520123;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"9";"Azerbaijan, Republic of";90;"ASRREA0";"ASBG01";"Girl";"Girl";577,262812;3,54831965206689;577,262812;3,54831965206689;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"10";"Azerbaijan, Republic of";90;"ASRREA0";"ASBG01";"Girl";"Boy";577,262812;3,54831965206689;566,849544;3,11406847986133;-10,413268;3,78626145176931;-2,75027705631209;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"11";"Azerbaijan, Republic of";90;"ASRREA0";"ASBG01";"Boy";"Girl";566,849544;3,11406847986133;577,262812;3,54831965206689;10,413268;3,78626145176931;2,75027705631209;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"12";"Azerbaijan, Republic of";90;"ASRREA0";"ASBG01";"Boy";"Boy";566,849544;3,11406847986133;566,849544;3,11406847986133;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"13";"Australia";10;"ASRREA0";"ASBG01";"Girl";"Girl";451,61877;6,20464886201469;451,61877;6,20464886201469;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"14";"Australia";10;"ASRREA0";"ASBG01";"Girl";"Boy";451,61877;6,20464886201469;418,116854;6,68982774299432;-33,501916;7,61267082621314;-4,40080975058595;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"15";"Australia";10;"ASRREA0";"ASBG01";"Boy";"Girl";418,116854;6,68982774299432;451,61877;6,20464886201469;33,501916;7,61267082621314;4,40080975058595;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"16";"Australia";10;"ASRREA0";"ASBG01";"Boy";"Boy";418,116854;6,68982774299432;418,116854;6,68982774299432;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"17";"Australia";50;"ASRREA0";"ASBG01";"Girl";"Girl";561,06444;3,03249007639596;561,06444;3,03249007639596;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"18";"Australia";50;"ASRREA0";"ASBG01";"Girl";"Boy";561,06444;3,03249007639596;543,627818;3,19571623003265;-17,436622;3,17874869405777;-5,4853729181534;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"19";"Australia";50;"ASRREA0";"ASBG01";"Boy";"Girl";543,627818;3,19571623003265;561,06444;3,03249007639596;17,436622;3,17874869405777;5,4853729181534;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"20";"Australia";50;"ASRREA0";"ASBG01";"Boy";"Boy";543,627818;3,19571623003265;543,627818;3,19571623003265;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"21";"Australia";90;"ASRREA0";"ASBG01";"Girl";"Girl";650,633976;4,6055558438202;650,633976;4,6055558438202;0;0;NA;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
"22";"Australia";90;"ASRREA0";"ASBG01";"Girl";"Boy";650,633976;4,6055558438202;635,429222;4,59188428673613;-15,204754;5,71966004378384;-2,65833176860304;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h14m";150;5;"NONE"
