"";"IDCNTRY";"Variable";"ASBGBOOK";"ASDMSCL";"ASBGBOOK.se";"ASDMSCL.se";"xvar";"corrtype";"weight";"method";"jk2type";"missoptn";"date";"time";"reps";"selcrit"
"1";"Armenia";"ASBGBOOK";1;-0,0995723090518234;0;0,0260166500021587;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"2";"Armenia";"ASDMSCL";-0,0995723090518234;1;0,0260166500021587;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"3";"Australia";"ASBGBOOK";1;-0,0786916172136333;0;0,0239930713284763;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"4";"Australia";"ASDMSCL";-0,0786916172136333;1;0,0239930713284763;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"5";"Belgium (Flemish)";"ASBGBOOK";1;-0,0652707812813317;0;0,0161132852692686;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"6";"Belgium (Flemish)";"ASDMSCL";-0,0652707812813317;1;0,0161132852692686;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"7";"Canada (Ontario)";"ASBGBOOK";1;-0,0920311310652139;0;0,0218284773414954;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"8";"Canada (Ontario)";"ASDMSCL";-0,0920311310652139;1;0,0218284773414954;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"9";"Canada (Quebec)";"ASBGBOOK";1;-0,107203097707734;0;0,0178453995837232;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"10";"Canada (Quebec)";"ASDMSCL";-0,107203097707734;1;0,0178453995837232;0;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
"11";"Chinese Taipei";"ASBGBOOK";1;-0,146822510943768;0;0,0147325082458427;"ASBGBOOK ASDMSCL";"PEARSON";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h36m";75;"NONE"
