"";"IDCNTRY";"Variable";"Mean";"stdev";"TOTWGT";"NObs";"TOTWGT.se";"mean.se";"stdev.se";"xvar";"weight";"method";"jk2type";"missoptn";"date";"time";"reps";"selcrit"
"1";"Armenia";"ASBGBOOK";2,98382565922247;1,31658964064419;30530,743159338;3437;1040,07719957837;0,0520816544068469;0,0176153628677237;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"2";"Armenia";"ASDMSCL";1,67494398587498;0,681789271040437;30530,743159338;3437;1040,07719957837;0,0171649808601233;0,00940557331633971;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"3";"Australia";"ASBGBOOK";3,44046446736045;1,16361216408143;246283,772547634;4157;7614,54852645958;0,0460386579727193;0,0199636260566541;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"4";"Australia";"ASDMSCL";1,46203229191586;0,676774770268446;246283,772547634;4157;7614,54852645958;0,0141582390654286;0,0124737264127426;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"5";"Belgium (Flemish)";"ASBGBOOK";3,00194839195999;1,06911984907832;64161,3021729193;4569;1755,36050546866;0,0257973542790209;0,0146216643484017;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"6";"Belgium (Flemish)";"ASDMSCL";1,51038568613074;0,710524625376565;64161,3021729193;4569;1755,36050546866;0,0131417351870543;0,009125392419446;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"7";"Canada (Ontario)";"ASBGBOOK";3,31045238879376;1,16080123235799;136711,853751974;4202;4539,97670317166;0,0512841287387225;0,0188664347463032;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"8";"Canada (Ontario)";"ASDMSCL";1,42640485872183;0,660801807113571;136711,853751974;4202;4539,97670317166;0,0187653965249737;0,0120377422903458;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"9";"Canada (Quebec)";"ASBGBOOK";2,75703850631836;1,02764660250258;82545,8544368384;4152;1987,23987249496;0,0252119854148949;0,0149680394097355;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
"10";"Canada (Quebec)";"ASDMSCL";1,37233535739679;0,625725996360944;82545,8544368384;4152;1987,23987249496;0,0141598788555892;0,0102945108469475;"ASBGBOOK ASDMSCL";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 7h39m";75;"NONE"
