"";"IDCNTRY";"Variable";"ASSSCI0_";"ASMDAP0_";"ASSSCI0_.se";"ASMDAP0_.se";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Armenia";"ASSSCI0_";1;0,50906133997017;0;0,0237538803690327;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"2";"Armenia";"ASMDAP0_";0,50906133997017;1;0,0237538803690327;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"3";"Australia";"ASSSCI0_";1;0,615725226281406;0;0,0266035457722099;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"4";"Australia";"ASMDAP0_";0,615725226281406;1;0,0266035457722099;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"5";"Belgium (Flemish)";"ASSSCI0_";1;0,48737011936408;0;0,0210668058859609;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"6";"Belgium (Flemish)";"ASMDAP0_";0,48737011936408;1;0,0210668058859609;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"7";"Canada (Ontario)";"ASSSCI0_";1;0,588385059962962;0;0,0214415195559566;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"8";"Canada (Ontario)";"ASMDAP0_";0,588385059962962;1;0,0214415195559566;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"9";"Canada (Quebec)";"ASSSCI0_";1;0,547682165070586;0;0,0184626946169365;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"10";"Canada (Quebec)";"ASMDAP0_";0,547682165070586;1;0,0184626946169365;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"11";"Chinese Taipei";"ASSSCI0_";1;0,52002011897462;0;0,0235272232152499;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"12";"Chinese Taipei";"ASMDAP0_";0,52002011897462;1;0,0235272232152499;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"13";"Cyprus";"ASSSCI0_";1;0,594130936164922;0;0,0189819727847243;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"14";"Cyprus";"ASMDAP0_";0,594130936164922;1;0,0189819727847243;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"15";"England";"ASSSCI0_";1;0,640153865154684;0;0,0164192607172959;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"16";"England";"ASMDAP0_";0,640153865154684;1;0,0164192607172959;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"17";"Hong Kong, SAR";"ASSSCI0_";1;0,545367805017289;0;0,0152115947328764;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"18";"Hong Kong, SAR";"ASMDAP0_";0,545367805017289;1;0,0152115947328764;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"19";"Hungary";"ASSSCI0_";1;0,617422864695932;0;0,0190352427750102;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"20";"Hungary";"ASMDAP0_";0,617422864695932;1;0,0190352427750102;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"21";"Iran, Islamic Republic of";"ASSSCI0_";1;0,511270162791697;0;0,0281390136998682;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"22";"Iran, Islamic Republic of";"ASMDAP0_";0,511270162791697;1;0,0281390136998682;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"23";"Italy";"ASSSCI0_";1;0,626103410686342;0;0,0211552519808937;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"24";"Italy";"ASMDAP0_";0,626103410686342;1;0,0211552519808937;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"25";"Japan";"ASSSCI0_";1;0,509982447207321;0;0,0144470659194505;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"26";"Japan";"ASMDAP0_";0,509982447207321;1;0,0144470659194505;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"27";"Latvia";"ASSSCI0_";1;0,574176352192884;0;0,0197102532472944;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"28";"Latvia";"ASMDAP0_";0,574176352192884;1;0,0197102532472944;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"29";"Lithuania";"ASSSCI0_";1;0,582529373924719;0;0,0191547332633622;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"30";"Lithuania";"ASMDAP0_";0,582529373924719;1;0,0191547332633622;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"31";"Moldova";"ASSSCI0_";1;0,654195364799012;0;0,0248052579973731;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"32";"Moldova";"ASMDAP0_";0,654195364799012;1;0,0248052579973731;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"33";"Morocco";"ASSSCI0_";1;0,444314525256077;0;0,0237963825485741;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"34";"Morocco";"ASMDAP0_";0,444314525256077;1;0,0237963825485741;0;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
"35";"Netherlands";"ASSSCI0_";1;0,449542221645021;0;0,0260433551877848;" ASSSCI0_ ASMDAP0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h50m";75;5;"NONE"
