"";"IDCNTRY";"Variable";"ASDAGE";"ASMMAT0_";"ASDAGE.se";"ASMMAT0_.se";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Armenia";"ASDAGE";1;-0,0728535101695168;0;0,0202708116902781;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"2";"Armenia";"ASMMAT0_";-0,0728535101695168;1;0,0202708116902781;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"3";"Australia";"ASDAGE";1;0,0666301842949925;0;0,0297002638467949;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"4";"Australia";"ASMMAT0_";0,0666301842949925;1;0,0297002638467949;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"5";"Belgium (Flemish)";"ASDAGE";1;-0,276574170531875;0;0,027496831367698;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"6";"Belgium (Flemish)";"ASMMAT0_";-0,276574170531875;1;0,027496831367698;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"7";"Canada (Ontario)";"ASDAGE";1;-0,0392659292567853;0;0,0256767394310345;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"8";"Canada (Ontario)";"ASMMAT0_";-0,0392659292567853;1;0,0256767394310345;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"9";"Canada (Quebec)";"ASDAGE";1;-0,145669907213632;0;0,0186107031619668;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"10";"Canada (Quebec)";"ASMMAT0_";-0,145669907213632;1;0,0186107031619668;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"11";"Chinese Taipei";"ASDAGE";1;0,0466120459327265;0;0,0248141533723588;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"12";"Chinese Taipei";"ASMMAT0_";0,0466120459327265;1;0,0248141533723588;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"13";"Cyprus";"ASDAGE";1;-0,0150233994861237;0;0,0228025767464288;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
"14";"Cyprus";"ASMMAT0_";-0,0150233994861237;1;0,0228025767464288;0;"ASDAGE ASMMAT0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"19h44m";75;5;"NONE"
