"";"IDCNTRY";"Variable";"RASBGBOOK";"RASDMSCL";"RASBGBOOK.se";"RASDMSCL.se";"xvar";"corrtype";"weight";"method";"jk2type";"missoptn";"date";"time";"reps";"selcrit"
"1";"Armenia";"RASBGBOOK";1;-0,110499439935596;0;0,0262218765536082;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"2";"Armenia";"RASDMSCL";-0,110499439935596;1;0,0262218765536082;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"3";"Australia";"RASBGBOOK";1;-0,0802079720342691;0;0,0216503721653024;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"4";"Australia";"RASDMSCL";-0,0802079720342691;1;0,0216503721653024;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"5";"Belgium (Flemish)";"RASBGBOOK";1;-0,074895086726131;0;0,015372081182848;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"6";"Belgium (Flemish)";"RASDMSCL";-0,074895086726131;1;0,015372081182848;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"7";"Canada (Ontario)";"RASBGBOOK";1;-0,0930521068602942;0;0,0211957098639157;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"8";"Canada (Ontario)";"RASDMSCL";-0,0930521068602942;1;0,0211957098639157;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"9";"Canada (Quebec)";"RASBGBOOK";1;-0,122520925790478;0;0,0169157117506625;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"10";"Canada (Quebec)";"RASDMSCL";-0,122520925790478;1;0,0169157117506625;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"11";"Chinese Taipei";"RASBGBOOK";1;-0,151020737889555;0;0,0147995846411603;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"12";"Chinese Taipei";"RASDMSCL";-0,151020737889555;1;0,0147995846411603;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"13";"Cyprus";"RASBGBOOK";1;-0,100119636263966;0;0,0159500696065018;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"14";"Cyprus";"RASDMSCL";-0,100119636263966;1;0,0159500696065018;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"15";"England";"RASBGBOOK";1;-0,079863541622443;0;0,0212741669160254;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"16";"England";"RASDMSCL";-0,079863541622443;1;0,0212741669160254;0;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
"17";"Hong Kong, SAR";"RASBGBOOK";1;-0,102652953382169;0;0,0169356856011868;" RASBGBOOK RASDMSCL";"SPEARMAN";"TOTWGT";"JRR";"HALF";"LISTWISE";"04-MAR-26";"10h35m";75;"NONE"
