"";"IDCNTRY";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnpv";"mnpv_se";"cmnpv";"cmnpv_se";"mnpvdiff";"mnpvdiff_se";"mnpvdiff_t";"mnpvdiff_ci";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Australia";"ASMMAT0";"ASBGSEX";"GIRL";"GIRL";50,4878611890545;1,0760115344835;50,4878611890545;1,0760115344835;0;NA;NA;497,531540980695;4,50877034749765;497,531540980695;4,50877034749765;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"2";"Australia";"ASMMAT0";"ASBGSEX";"GIRL";"BOY";50,4878611890545;1,0760115344835;49,5121388109455;1,0760115344835;-0,975722378108991;2,152023068967;-0,453397731734052;497,531540980695;4,50877034749765;500,69803430864;4,29664416710801;3,16649332794477;4,07624567280065;0,77681611515068;"-5 to 11";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"3";"Australia";"ASMMAT0";"ASBGSEX";"BOY";"GIRL";49,5121388109455;1,0760115344835;50,4878611890545;1,0760115344835;0,975722378108991;2,152023068967;0,453397731734052;500,69803430864;4,29664416710801;497,531540980695;4,50877034749765;-3,16649332794477;4,07624567280065;-0,77681611515068;"-11 to 5";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"4";"Australia";"ASMMAT0";"ASBGSEX";"BOY";"BOY";49,5121388109455;1,0760115344835;49,5121388109455;1,0760115344835;0;NA;NA;500,69803430864;4,29664416710801;500,69803430864;4,29664416710801;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"5";"Armenia";"ASMMAT0";"ASBGSEX";"GIRL";"GIRL";49,0412448713211;0,776469845918075;49,0412448713211;0,776469845918075;0;NA;NA;462,73492399559;3,75309128986205;462,73492399559;3,75309128986205;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"6";"Armenia";"ASMMAT0";"ASBGSEX";"GIRL";"BOY";49,0412448713211;0,776469845918075;50,9587551286789;0,77646984591807;1,91751025735778;1,55293969183614;1,23476157344564;462,73492399559;3,75309128986205;451,028441932887;3,82430637708067;-11,7064820627034;2,95828314316275;-3,95718783367972;"-18 to -6";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"7";"Armenia";"ASMMAT0";"ASBGSEX";"BOY";"GIRL";50,9587551286789;0,77646984591807;49,0412448713211;0,776469845918075;-1,91751025735778;1,55293969183614;-1,23476157344564;451,028441932887;3,82430637708067;462,73492399559;3,75309128986205;11,7064820627034;2,95828314316275;3,95718783367972;"6 to 18";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"8";"Armenia";"ASMMAT0";"ASBGSEX";"BOY";"BOY";50,9587551286789;0,77646984591807;50,9587551286789;0,77646984591807;0;NA;NA;451,028441932887;3,82430637708067;451,028441932887;3,82430637708067;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"9";"Chinese Taipei";"ASMMAT0";"ASBGSEX";"GIRL";"GIRL";48,1719069036536;0,521861322459842;48,1719069036536;0,521861322459842;0;NA;NA;564,228995876344;1,74471056576814;564,228995876344;1,74471056576814;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"10";"Chinese Taipei";"ASMMAT0";"ASBGSEX";"GIRL";"BOY";48,1719069036536;0,521861322459842;51,8280930963464;0,521861322459851;3,65618619269285;1,04372264491969;3,50302468810971;564,228995876344;1,74471056576814;563,806336965375;2,07951595046184;-0,422658910969699;1,68879183105899;-0,250272948504649;"-4 to 3";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"11";"Chinese Taipei";"ASMMAT0";"ASBGSEX";"BOY";"GIRL";51,8280930963464;0,521861322459851;48,1719069036536;0,521861322459842;-3,65618619269285;1,04372264491969;-3,50302468810971;563,806336965375;2,07951595046184;564,228995876344;1,74471056576814;0,422658910969699;1,68879183105899;0,250272948504649;"-3 to 4";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"12";"Chinese Taipei";"ASMMAT0";"ASBGSEX";"BOY";"BOY";51,8280930963464;0,521861322459851;51,8280930963464;0,521861322459851;0;NA;NA;563,806336965375;2,07951595046184;563,806336965375;2,07951595046184;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"13";"Cyprus";"ASMMAT0";"ASBGSEX";"GIRL";"GIRL";49,1009866184752;0,720761354245311;49,1009866184752;0,720761354245311;0;NA;NA;505,082400347843;2,66736378382209;505,082400347843;2,66736378382209;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"14";"Cyprus";"ASMMAT0";"ASBGSEX";"GIRL";"BOY";49,1009866184752;0,720761354245311;50,8990133815248;0,720761354245306;1,79802676304963;1,44152270849062;1,24731074471404;505,082400347843;2,66736378382209;514,409619062674;2,8838087086996;9,32721871482999;2,78998236665606;3,34311027420906;"4 to 15";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"15";"Cyprus";"ASMMAT0";"ASBGSEX";"BOY";"GIRL";50,8990133815248;0,720761354245306;49,1009866184752;0,720761354245311;-1,79802676304963;1,44152270849062;-1,24731074471404;514,409619062674;2,8838087086996;505,082400347843;2,66736378382209;-9,32721871482999;2,78998236665606;-3,34311027420906;"-15 to -4";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"16";"Cyprus";"ASMMAT0";"ASBGSEX";"BOY";"BOY";50,8990133815248;0,720761354245306;50,8990133815248;0,720761354245306;0;NA;NA;514,409619062674;2,8838087086996;514,409619062674;2,8838087086996;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"17";"Hong Kong, SAR";"ASMMAT0";"ASBGSEX";"GIRL";"GIRL";47,0821069386072;1,11624769606209;47,0821069386072;1,11624769606209;0;NA;NA;574,971114660782;3,35020480927083;574,971114660782;3,35020480927083;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"18";"Hong Kong, SAR";"ASMMAT0";"ASBGSEX";"GIRL";"BOY";47,0821069386072;1,11624769606209;52,9178930613928;1,11624769606207;5,83578612278556;2,23249539212416;2,61401933610845;574,971114660782;3,35020480927083;574,942460298343;3,36965114159127;-0,0286543624388059;2,31327876894952;-0,0123869041740344;"-5 to 5";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"19";"Hong Kong, SAR";"ASMMAT0";"ASBGSEX";"BOY";"GIRL";52,9178930613928;1,11624769606207;47,0821069386072;1,11624769606209;-5,83578612278556;2,23249539212416;-2,61401933610845;574,942460298343;3,36965114159127;574,971114660782;3,35020480927083;0,0286543624388059;2,31327876894952;0,0123869041740344;"-5 to 5";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"20";"Hong Kong, SAR";"ASMMAT0";"ASBGSEX";"BOY";"BOY";52,9178930613928;1,11624769606207;52,9178930613928;1,11624769606207;0;NA;NA;574,942460298343;3,36965114159127;574,942460298343;3,36965114159127;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"21";"Hungary";"ASMMAT0";"ASBGSEX";"GIRL";"GIRL";49,5268859409301;0,941262785910459;49,5268859409301;0,941262785910459;0;NA;NA;527,14623162141;3,82609654253755;527,14623162141;3,82609654253755;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"22";"Hungary";"ASMMAT0";"ASBGSEX";"GIRL";"BOY";49,5268859409301;0,941262785910459;50,4731140590699;0,941262785910458;0,946228118139814;1,88252557182092;0,502637590853309;527,14623162141;3,82609654253755;530,098626062673;3,34024740518962;2,95239444126382;3,42401125206958;0,862261898082053;"-4 to 10";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"23";"Hungary";"ASMMAT0";"ASBGSEX";"BOY";"GIRL";50,4731140590699;0,941262785910458;49,5268859409301;0,941262785910459;-0,946228118139814;1,88252557182092;-0,502637590853309;530,098626062673;3,34024740518962;527,14623162141;3,82609654253755;-2,95239444126382;3,42401125206958;-0,862261898082053;"-10 to 4";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"24";"Hungary";"ASMMAT0";"ASBGSEX";"BOY";"BOY";50,4731140590699;0,941262785910458;50,4731140590699;0,941262785910458;0;NA;NA;530,098626062673;3,34024740518962;530,098626062673;3,34024740518962;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"25";"Iran, Islamic Republic of";"ASMMAT0";"ASBGSEX";"GIRL";"GIRL";39,0458776776562;4,2036338037862;39,0458776776562;4,2036338037862;0;NA;NA;393,988157197153;6,54194770315694;393,988157197153;6,54194770315694;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"26";"Iran, Islamic Republic of";"ASMMAT0";"ASBGSEX";"GIRL";"BOY";39,0458776776562;4,2036338037862;60,9541223223438;4,20363380378621;21,9082446446876;8,40726760757242;2,60586978639229;393,988157197153;6,54194770315694;385,906378515464;5,50286020624226;-8,08177868168915;8,75671512105913;-0,922923558658792;"-25 to 9";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"27";"Iran, Islamic Republic of";"ASMMAT0";"ASBGSEX";"BOY";"GIRL";60,9541223223438;4,20363380378621;39,0458776776562;4,2036338037862;-21,9082446446876;8,40726760757242;-2,60586978639229;385,906378515464;5,50286020624226;393,988157197153;6,54194770315694;8,08177868168915;8,75671512105913;0,922923558658792;"-9 to 25";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"28";"Iran, Islamic Republic of";"ASMMAT0";"ASBGSEX";"BOY";"BOY";60,9541223223438;4,20363380378621;60,9541223223438;4,20363380378621;0;NA;NA;385,906378515464;5,50286020624226;385,906378515464;5,50286020624226;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"29";"Italy";"ASMMAT0";"ASBGSEX";"GIRL";"GIRL";48,2538883264973;0,825131728971922;48,2538883264973;0,825131728971922;0;NA;NA;498,335901035308;4,11138844655263;498,335901035308;4,11138844655263;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"30";"Italy";"ASMMAT0";"ASBGSEX";"GIRL";"BOY";48,2538883264973;0,825131728971922;51,7461116735027;0,82513172897192;3,49222334700545;1,65026345794384;2,11616110760679;498,335901035308;4,11138844655263;506,88964782092;3,71097792721086;8,55374678561176;2,64952390026975;3,2284089925518;"3 to 14";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"31";"Italy";"ASMMAT0";"ASBGSEX";"BOY";"GIRL";51,7461116735027;0,82513172897192;48,2538883264973;0,825131728971922;-3,49222334700545;1,65026345794384;-2,11616110760679;506,88964782092;3,71097792721086;498,335901035308;4,11138844655263;-8,55374678561176;2,64952390026975;-3,2284089925518;"-14 to -3";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"32";"Italy";"ASMMAT0";"ASBGSEX";"BOY";"BOY";51,7461116735027;0,82513172897192;51,7461116735027;0,82513172897192;0;NA;NA;506,88964782092;3,71097792721086;506,88964782092;3,71097792721086;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"33";"Japan";"ASMMAT0";"ASBGSEX";"GIRL";"GIRL";48,8664300822209;0,593808087119376;48,8664300822209;0,593808087119376;0;NA;NA;562,702554305728;1,82864587279661;562,702554305728;1,82864587279661;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"34";"Japan";"ASMMAT0";"ASBGSEX";"GIRL";"BOY";48,8664300822209;0,593808087119376;51,1335699177791;0,593808087119383;2,26713983555829;1,18761617423876;1,90898363017958;562,702554305728;1,82864587279661;566,587705345258;2,09965186499503;3,88515103953064;2,31394821075459;1,67901382644328;"-1 to 8";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"35";"Japan";"ASMMAT0";"ASBGSEX";"BOY";"GIRL";51,1335699177791;0,593808087119383;48,8664300822209;0,593808087119376;-2,26713983555829;1,18761617423876;-1,90898363017958;566,587705345258;2,09965186499503;562,702554305728;1,82864587279661;-3,88515103953064;2,31394821075459;-1,67901382644328;"-8 to 1";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"36";"Japan";"ASMMAT0";"ASBGSEX";"BOY";"BOY";51,1335699177791;0,593808087119383;51,1335699177791;0,593808087119383;0;NA;NA;566,587705345258;2,09965186499503;566,587705345258;2,09965186499503;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"37";"Latvia";"ASMMAT0";"ASBGSEX";"GIRL";"GIRL";48,9452951678625;0,912181923492962;48,9452951678625;0,912181923492962;0;NA;NA;536,320430778797;2,90288743391571;536,320430778797;2,90288743391571;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"38";"Latvia";"ASMMAT0";"ASBGSEX";"GIRL";"BOY";48,9452951678625;0,912181923492962;51,0547048321375;0,912181923492966;2,10940966427499;1,82436384698593;1,15624395197263;536,320430778797;2,90288743391571;535,657304156073;3,49815730755868;-0,663126622724371;2,9005830418613;-0,228618389183867;"-6 to 5";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"39";"Latvia";"ASMMAT0";"ASBGSEX";"BOY";"GIRL";51,0547048321375;0,912181923492966;48,9452951678625;0,912181923492962;-2,10940966427499;1,82436384698593;-1,15624395197263;535,657304156073;3,49815730755868;536,320430778797;2,90288743391571;0,663126622724371;2,9005830418613;0,228618389183867;"-5 to 6";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"40";"Latvia";"ASMMAT0";"ASBGSEX";"BOY";"BOY";51,0547048321375;0,912181923492966;51,0547048321375;0,912181923492966;0;NA;NA;535,657304156073;3,49815730755868;535,657304156073;3,49815730755868;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"41";"Lithuania";"ASMMAT0";"ASBGSEX";"GIRL";"GIRL";48,9203563692436;0,926943797186652;48,9203563692436;0,926943797186652;0;NA;NA;535,104005098196;3,49429165576724;535,104005098196;3,49429165576724;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"42";"Lithuania";"ASMMAT0";"ASBGSEX";"GIRL";"BOY";48,9203563692436;0,926943797186652;51,0796436307563;0,926943797186638;2,1592872615127;1,85388759437329;1,16473472721125;535,104005098196;3,49429165576724;535,807175459398;3,20523145334448;0,703170361202365;2,78038578140898;0,252903883304291;"-5 to 6";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"43";"Lithuania";"ASMMAT0";"ASBGSEX";"BOY";"GIRL";51,0796436307563;0,926943797186638;48,9203563692436;0,926943797186652;-2,1592872615127;1,85388759437329;-1,16473472721125;535,807175459398;3,20523145334448;535,104005098196;3,49429165576724;-0,703170361202365;2,78038578140898;-0,252903883304291;"-6 to 5";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"44";"Lithuania";"ASMMAT0";"ASBGSEX";"BOY";"BOY";51,0796436307563;0,926943797186638;51,0796436307563;0,926943797186638;0;NA;NA;535,807175459398;3,20523145334448;535,807175459398;3,20523145334448;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"45";"Moldova";"ASMMAT0";"ASBGSEX";"GIRL";"GIRL";49,5677187896529;0,832807975606001;49,5677187896529;0,832807975606001;0;NA;NA;509,260751139874;5,24915852140586;509,260751139874;5,24915852140586;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"46";"Moldova";"ASMMAT0";"ASBGSEX";"GIRL";"BOY";49,5677187896529;0,832807975606001;50,4322812103471;0,832807975606006;0,864562420694121;1,66561595121201;0,519064685988994;509,260751139874;5,24915852140586;498,717642618845;5,16883027910614;-10,5431085210287;3,573926376965;-2,95000719348393;"-18 to -4";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"47";"Moldova";"ASMMAT0";"ASBGSEX";"BOY";"GIRL";50,4322812103471;0,832807975606006;49,5677187896529;0,832807975606001;-0,864562420694121;1,66561595121201;-0,519064685988994;498,717642618845;5,16883027910614;509,260751139874;5,24915852140586;10,5431085210287;3,573926376965;2,95000719348393;"4 to 18";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"48";"Moldova";"ASMMAT0";"ASBGSEX";"BOY";"BOY";50,4322812103471;0,832807975606006;50,4322812103471;0,832807975606006;0;NA;NA;498,717642618845;5,16883027910614;498,717642618845;5,16883027910614;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"49";"Morocco";"ASMMAT0";"ASBGSEX";"GIRL";"GIRL";48,408759295606;1,21390013164816;48,408759295606;1,21390013164816;0;NA;NA;343,006989993919;6,00532389832573;343,006989993919;6,00532389832573;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"50";"Morocco";"ASMMAT0";"ASBGSEX";"GIRL";"BOY";48,408759295606;1,21390013164816;51,591240704394;1,21390013164816;3,18248140878806;2,42780026329632;1,31084976672137;343,006989993919;6,00532389832573;350,133494583188;4,87555093508727;7,12650458926877;4,69036974988106;1,51939078778373;"-2 to 16";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"51";"Morocco";"ASMMAT0";"ASBGSEX";"BOY";"GIRL";51,591240704394;1,21390013164816;48,408759295606;1,21390013164816;-3,18248140878806;2,42780026329632;-1,31084976672137;350,133494583188;4,87555093508727;343,006989993919;6,00532389832573;-7,12650458926877;4,69036974988106;-1,51939078778373;"-16 to 2";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"52";"Morocco";"ASMMAT0";"ASBGSEX";"BOY";"BOY";51,591240704394;1,21390013164816;51,591240704394;1,21390013164816;0;NA;NA;350,133494583188;4,87555093508727;350,133494583188;4,87555093508727;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"53";"Netherlands";"ASMMAT0";"ASBGSEX";"GIRL";"GIRL";49,0821994887059;1,1683352001348;49,0821994887059;1,1683352001348;0;NA;NA;537,691680438601;2,66430580984242;537,691680438601;2,66430580984242;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"54";"Netherlands";"ASMMAT0";"ASBGSEX";"GIRL";"BOY";49,0821994887059;1,1683352001348;50,9178005112941;1,16833520013479;1,83560102258818;2,33667040026959;0,785562663170807;537,691680438601;2,66430580984242;543,533310779222;2,17688560902423;5,84163034062108;2,43966855141495;2,39443605453416;"1 to 11";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"55";"Netherlands";"ASMMAT0";"ASBGSEX";"BOY";"GIRL";50,9178005112941;1,16833520013479;49,0821994887059;1,1683352001348;-1,83560102258818;2,33667040026959;-0,785562663170807;543,533310779222;2,17688560902423;537,691680438601;2,66430580984242;-5,84163034062108;2,43966855141495;-2,39443605453416;"-11 to -1";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
"56";"Netherlands";"ASMMAT0";"ASBGSEX";"BOY";"BOY";50,9178005112941;1,16833520013479;50,9178005112941;1,16833520013479;0;NA;NA;543,533310779222;2,17688560902423;543,533310779222;2,17688560902423;0;NA;NA;" ";"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h 3m";75;5;"NONE"
