IDCNTRY;ASBGSEX;dvar;n;TOTWGT;sumw_se;pct;pct_se;mnpv;mnpv_se;mnpv_ci;mnx_svr;mnx_ivr;sdpv;sdpv_se;vrpv;vrpv_se;DEff1;DEff2;DEff3;DEff4;DEff5;pctmiss;nvarstrat;weight;reps;method;jk2type;npv;shortcut;date;time;infile;selcrit
Australia;GIRL;ASMMAT0;2168;127989,513819372;4587,87763265803;50,4878611890545;1,0760115344835;497,531540980695;4,50877034749765;489 to 506;18,2113821296537;2,11762791682037;79,2498162442173;2,55172120769878;6281,30705565441;411,979022639232;1,73090159149818;4,05371402131661;6,28567845947723;1,11628046140288;7,01658005097541;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;BOY;ASMMAT0;2089;125516,003754661;5235,7887134664;49,5121388109455;1,0760115344835;500,69803430864;4,29664416710801;492 to 509;17,9610488048489;,500102293894371;82,5012480867197;2,63605451280029;6807,40885777608;434,107851093645;1,15346715817605;4,91145475647765;5,51173460228846;1,02784371332254;5,6652017604645;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;GIRL;ASMMAT0;2744;24688,3944123071;792,729407914141;49,0412448713211;,776469845918075;462,73492399559;3,75309128986205;455 to 470;14,05819712975;,0274971002883701;83,4656094729129;2,26968698465146;6966,7268975475;382,741817290335;1,01083034318711;5,48852071105857;5,53713293076177;1,00195594783845;5,54796327394888;0;74;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;BOY;ASMMAT0;2787;25653,7094170039;903,589970701533;50,9587551286789;,77646984591807;451,028441932887;3,82430637708067;444 to 459;14,2699845466161;,355334719163862;88,7103721265546;1,82558416779011;7869,65255744933;324,431962811746;1,12584009968423;4,6005531466365;5,0536471135276;1,02490084821067;5,17948721321183;0;74;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;GIRL;ASMMAT0;2237;149969,643446919;2486,73519742743;48,1719069036536;,521861322459842;564,228995876344;1,74471056576814;561 to 568;2,77259437913164;,271420579171328;59,4348468423987;1,15403774757303;3532,69287649866;136,595336485204;1,17187110706551;1,64485279463943;1,75568435834839;1,09789408115887;1,9275554654139;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Chinese Taipei;BOY;ASMMAT0;2423;161352,147793079;2890,67862986044;51,8280930963464;,521861322459851;563,806336965375;2,07951595046184;560 to 568;4,15900272332617;,165383864899054;65,9459618236265;1,50450784490506;4348,93751659575;197,448061977946;1,09214321960737;2,20604904786282;2,3171782901373;1,03976526968148;2,40932150974467;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;GIRL;ASMMAT0;2127;4880,0736488913;137,429722132148;49,1009866184752;,720761354245311;505,082400347843;2,66736378382209;500 to 510;6,68797512954541;,4268544257003;82,3750407418586;1,85969088745617;6786,36601540309;304,949693395733;1,13378579366392;1,96681585343469;2,09616207971331;1,06382416462863;2,22994787337723;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Cyprus;BOY;ASMMAT0;2199;5058,77684063243;105,48312824592;50,8990133815248;,720761354245306;514,409619062674;2,8838087086996;509 to 520;7,57655646502384;,739796203347811;87,9872954904963;1,53587525259113;7741,84393646278;270,927942378369;1,21013234889686;1,95200463463564;2,15205160467232;1,09764280207809;2,36218395356918;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;GIRL;ASMMAT0;2220;37138,579530604;1282,87670896543;47,0821069386072;1,11624769606209;574,971114660782;3,35020480927083;568 to 582;10,8901330389244;,333739225136991;59,7783929413601;1,64702921807041;3574,36370080881;200,272577310427;1,20728195052912;5,77415238530907;6,76374800385917;1,03064601910226;6,97102995438829;0;66;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hong Kong, SAR;BOY;ASMMAT0;2378;41741,8740969934;1560,9121606526;52,9178930613928;1,11624769606207;574,942460298343;3,36965114159127;568 to 582;10,5196753957121;,834873420315304;66,249561966853;1,67210380932018;4389,30108389017;222,836780716026;1,45231096148689;4,23571513274792;5,6992645555388;1,07936304010441;6,15157551702569;0;64;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;GIRL;ASMMAT0;1641;49992,0090829835;1347,68097246126;49,5268859409301;,941262785910459;527,14623162141;3,82609654253755;520 to 535;14,0493592804448;,589655472373051;76,8657227279263;2,57241781772879;5909,33361945361;401,76984887083;1,1637451348116;3,49320474800166;3,90145489557612;1,04197027498569;4,06520003038773;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Hungary;BOY;ASMMAT0;1654;50947,1235380502;1464,18788157369;50,4731140590699;,941262785910458;530,098626062673;3,34024740518962;524 to 537;10,4613493542349;,695903373641136;77,829651178048;1,9890397360473;6057,53477090804;308,880616207893;1,19001528237698;2,56002567747275;2,85645439709307;1,06652137789084;3,04646967947005;0;75;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Iran, Islamic Republic of;GIRL;ASMMAT0;1655;516206,561269729;56363,2955835365;39,0458776776562;4,2036338037862;393,988157197153;6,54194770315694;381 to 407;38,587581885301;4,20949786553935;82,5585890531316;2,88896132694097;6816,99503818289;478,166963700974;2,02196333258952;5,13861263797297;9,36812300177293;1,1090894443205;10,3900863343624;0;53;TOTWGT;75;JRR;HALF;5;Y;25-FEB-26;22h23m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
