IDCNTRY;EqVar;b;ExpB;df;b.se;ExpB.se;b.wald;b.sig;dvar;convar;catvar;contrast;refcats;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Armenia;CONSTANT;-,99497284297003;,420541676429292;1;1,39895735154646;,414866600416481;,505840391176151;,476945084387697;ASMMAT0_DIC;ASDAGE;ASDMSCL ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;22h21m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;ASDAGE;-,128090240240672;,880699930480252;1;,130793285390129;,118784538299148;,959094018609405;,327415244740896;ASMMAT0_DIC;ASDAGE;ASDMSCL ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;22h21m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;ASDMSCL(1);1,18341410499102;3,27261472349366;1;,205410156450543;,704810823593099;33,191712176464;8,35056892665103E-009;ASMMAT0_DIC;ASDAGE;ASDMSCL ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;22h21m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;ASDMSCL(2);,34526800064538;1,41472499233537;1;,158871204026142;,229638661768363;4,72304720269833;,0297609588645047;ASMMAT0_DIC;ASDAGE;ASDMSCL ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;22h21m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;ASBGSEX(1);,145183157814306;1,15672940809205;1;,0973405446354247;,111541160647651;2,2245641441186;,135830984111211;ASMMAT0_DIC;ASDAGE;ASDMSCL ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;22h21m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;CONSTANT;-7,16804825987124;,00082492507363156;1;1,39675300251632;,00117450634509675;26,3367762432328;2,86775662662326E-007;ASMMAT0_DIC;ASDAGE;ASDMSCL ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;22h21m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;ASDAGE;,418259524284269;1,52058516582099;1;,132962611782455;,200764996989828;9,89538289534208;,00165693971111971;ASMMAT0_DIC;ASDAGE;ASDMSCL ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;22h21m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;ASDMSCL(1);2,53650748116302;12,8181609191843;1;,397914545739953;5,19768968001334;40,6342889968278;1,83557176392271E-010;ASMMAT0_DIC;ASDAGE;ASDMSCL ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;22h21m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;ASDMSCL(2);1,24431186207773;3,54648903539135;1;,457706498143273;1,58386927335338;7,39067876491019;,00655627426390489;ASMMAT0_DIC;ASDAGE;ASDMSCL ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;22h21m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;ASBGSEX(1);-,0851404973055888;,918945038901988;1;,12069151444852;,107392300917748;,497644136481854;,480537101173877;ASMMAT0_DIC;ASDAGE;ASDMSCL ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;22h21m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
