IDCNTRY;EqVar;b;beta;b.se;beta.se;b.t;beta.t;xvar;dvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Armenia;(CONSTANT);306,055849533168; ;42,7725970613203; ;7,15541890277075; ; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;ASDAGE;-4,33490042439832;-,0230201328600437;3,7872103126009;,0200625063654231;-1,14461571092979;-1,14742058847233; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;ASDMSCL_D2;-22,3341360162555;-,136568543525368;4,05673362245642;,025556793666083;-5,50544800196464;-5,34372759391218; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;ASDMSCL_D3;-20,1713392533589;-,0821789092063541;4,62031450287113;,0187803761062894;-4,36579354951359;-4,37578612596757; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;ASBGSEX_D2;-7,60395012654638;-,0468171932763078;2,97060695546616;,0182708234963671;-2,55972945614851;-2,5624019237894; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Armenia;ASSSCI0_;,412492812328233;,482456292759164;,0248364562741487;,028562065191281;16,6083602175396;16,8915059022567; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;(CONSTANT);235,669847584764; ;30,5448220445529; ;7,71554167973263; ; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;ASDAGE;4,64399559940923;,0304467427699172;3,18346058142748;,0207199918875205;1,45878847267738;1,469437967698; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;ASDMSCL_D2;-14,819433742442;-,09314636071772;3,37763035358048;,0215308771735787;-4,38752385284924;-4,32617584350085; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;ASDMSCL_D3;-24,3429689330084;-,10562446231051;4,66459280578308;,0201614972546599;-5,21866965597264;-5,23891955921565; ASDMSCL_d2 ASDMSCL_d3 ASBGSEX_d2 ASDAGE ASSSCI0_;ASMDAP0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;22h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
