"";"IDCNTRY";"ASBGSEX";"dvar";"n";"TOTWGT";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"1";"Australia";"GIRL";"ASMMAT0";2168;127989,513819372;393,264623111452;6,3300379902988;501,030622617034;7,55667714445319;593,955136602087;4,53993280877405;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"2";"Australia";"BOY";"ASMMAT0";2089;125516,003754661;389,921877021966;13,2360390113506;507,924120771349;6,62088948370794;600,169556140963;5,76092814782353;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"3";"Armenia";"GIRL";"ASMMAT0";2744;24688,3944123074;354,263450267756;2,49019768654448;465,308074711508;5,83554232045643;567,693861407664;3,74266903044374;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"4";"Armenia";"BOY";"ASMMAT0";2787;25653,7094170041;330,002383143387;6,56231736139878;456,365227264076;4,35067961600406;561,818231532203;3,74499510223163;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"5";"Chinese Taipei";"GIRL";"ASMMAT0";2237;149969,64344692;487,17148973453;3,08124687972363;566,717312263685;1,50064835239389;638,073149965306;3,62655164010094;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"6";"Chinese Taipei";"BOY";"ASMMAT0";2423;161352,147793082;479,41541143343;4,88977131881265;567,259068357877;2,13190531028853;644,356482773387;3,32518270213313;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"7";"Cyprus";"GIRL";"ASMMAT0";2127;4880,0736488913;395,136809031771;6,34125986009126;511,542725979427;3,26101300517066;604,465522588846;5,2949841314615;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"8";"Cyprus";"BOY";"ASMMAT0";2199;5058,77684063247;397,151569326257;5,09050101425951;520,027137798894;3,39367121165867;622,560444389475;4,82401074519883;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"9";"Hong Kong, SAR";"GIRL";"ASMMAT0";2220;37138,5795306042;498,383198281335;3,86386699188495;576,725463607718;4,244017473551;649,543138844962;6,47611616813538;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"10";"Hong Kong, SAR";"BOY";"ASMMAT0";2378;41741,8740969935;486,937186527392;3,94521666360928;579,184492079976;5,37331513080183;657,278119906463;5,94574397120639;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"11";"Hungary";"GIRL";"ASMMAT0";1641;49992,0090829835;424,161915383871;7,22232326351294;532,631009182927;6,38818246716073;620,459384058557;4,70735202443656;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"12";"Hungary";"BOY";"ASMMAT0";1654;50947,1235380501;426,41939856236;8,16974071241129;535,629356343467;2,50369562001183;627,515467494275;4,52561707745801;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"13";"Iran, Islamic Republic of";"GIRL";"ASMMAT0";1655;516206,561269723;285,639326002031;9,51728761152617;395,510647809163;6,76294633953906;501,514246799991;7,99861927011333;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
