"";"IDCNTRY";"ASBGSEX";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Australia";"GIRL";"ASMMAT0";"Percentile";10;50;393,264623111452;6,3300379902988;501,030622617034;7,55667714445319;107,765999505582;6,57126367104981;16,3995853613899;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"2";"Australia";"GIRL";"ASMMAT0";"Percentile";10;90;393,264623111452;6,3300379902988;593,955136602087;4,53993280877405;200,690513490634;6,42296944860133;31,2457524664603;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"3";"Australia";"GIRL";"ASMMAT0";"Percentile";50;90;501,030622617034;7,55667714445319;593,955136602087;4,53993280877405;92,9245139850523;6,33351636950081;14,6718676583094;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"4";"Australia";"BOY";"ASMMAT0";"Percentile";10;50;389,921877021966;13,2360390113506;507,924120771349;6,62088948370794;118,002243749384;11,8635973286306;9,94658200886565;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"5";"Australia";"BOY";"ASMMAT0";"Percentile";10;90;389,921877021966;13,2360390113506;600,169556140963;5,76092814782353;210,247679118997;12,5423720732067;16,7629917125591;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"6";"Australia";"BOY";"ASMMAT0";"Percentile";50;90;507,924120771349;6,62088948370794;600,169556140963;5,76092814782353;92,2454353696133;6,26155152228523;14,7320412586731;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"7";"Armenia";"GIRL";"ASMMAT0";"Percentile";10;50;354,263450267756;2,49019768654448;465,308074711508;5,83554232045643;111,044624443751;5,0491464761741;21,9927516398561;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"8";"Armenia";"GIRL";"ASMMAT0";"Percentile";10;90;354,263450267756;2,49019768654448;567,693861407664;3,74266903044374;213,430411139908;4,02344062344651;53,0467406170098;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"9";"Armenia";"GIRL";"ASMMAT0";"Percentile";50;90;465,308074711508;5,83554232045643;567,693861407664;3,74266903044374;102,385786696156;5,07095754002537;20,1906219659737;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"10";"Armenia";"BOY";"ASMMAT0";"Percentile";10;50;330,002383143387;6,56231736139878;456,365227264076;4,35067961600406;126,362844120689;5,32889812087522;23,7127528532925;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"11";"Armenia";"BOY";"ASMMAT0";"Percentile";10;90;330,002383143387;6,56231736139878;561,818231532203;3,74499510223163;231,815848388816;6,72752044652182;34,4578437526216;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"12";"Armenia";"BOY";"ASMMAT0";"Percentile";50;90;456,365227264076;4,35067961600406;561,818231532203;3,74499510223163;105,453004268127;4,69475669780249;22,4618677933805;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"13";"Chinese Taipei";"GIRL";"ASMMAT0";"Percentile";10;50;487,17148973453;3,08124687972363;566,717312263685;1,50064835239389;79,5458225291543;2,55156523306825;31,1753042792093;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"14";"Chinese Taipei";"GIRL";"ASMMAT0";"Percentile";10;90;487,17148973453;3,08124687972363;638,073149965306;3,62655164010094;150,901660230776;4,60814551027228;32,7467220586659;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"15";"Chinese Taipei";"GIRL";"ASMMAT0";"Percentile";50;90;566,717312263685;1,50064835239389;638,073149965306;3,62655164010094;71,3558377016212;3,66763669473428;19,4555359869936;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"16";"Chinese Taipei";"BOY";"ASMMAT0";"Percentile";10;50;479,41541143343;4,88977131881265;567,259068357877;2,13190531028853;87,8436569244473;3,94221103661202;22,2828397842296;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"17";"Chinese Taipei";"BOY";"ASMMAT0";"Percentile";10;90;479,41541143343;4,88977131881265;644,356482773387;3,32518270213313;164,941071339957;4,88961097024876;33,7329641035974;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"18";"Chinese Taipei";"BOY";"ASMMAT0";"Percentile";50;90;567,259068357877;2,13190531028853;644,356482773387;3,32518270213313;77,0974144155102;3,14873898379816;24,4851716233753;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"19";"Cyprus";"GIRL";"ASMMAT0";"Percentile";10;50;395,136809031771;6,34125986009126;511,542725979427;3,26101300517066;116,405916947656;5,0142189040487;23,2151645500887;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
