IDCNTRY;dvar;refpctile;comppctile;groupvar;refgroup;compgroup;gap;gap_se;cgap;cgap_se;gapdiff;gapdiff_se;gapdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Australia;ASMMAT0;   10,00;   50,00;ASBGSEX;GIRL;GIRL;107,765999505582;6,57126367104981;107,765999505582;6,57126367104981;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;ASMMAT0;   10,00;   50,00;ASBGSEX;GIRL;BOY;107,765999505582;6,57126367104981;118,002243749384;11,8635973286306;10,2362442438015;10,5439404917791;,970817717700756;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;ASMMAT0;   10,00;   50,00;ASBGSEX;BOY;GIRL;118,002243749384;11,8635973286306;107,765999505582;6,57126367104981;-10,2362442438015;10,5439404917791;-,970817717700756;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;ASMMAT0;   10,00;   50,00;ASBGSEX;BOY;BOY;118,002243749384;11,8635973286306;118,002243749384;11,8635973286306;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;ASMMAT0;   10,00;   90,00;ASBGSEX;GIRL;GIRL;200,690513490634;6,42296944860133;200,690513490634;6,42296944860133;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;ASMMAT0;   10,00;   90,00;ASBGSEX;GIRL;BOY;200,690513490634;6,42296944860133;210,247679118997;12,5423720732067;9,5571656283625;10,3887796270461;,919950751817025;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;ASMMAT0;   10,00;   90,00;ASBGSEX;BOY;GIRL;210,247679118997;12,5423720732067;200,690513490634;6,42296944860133;-9,5571656283625;10,3887796270461;-,919950751817025;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;ASMMAT0;   10,00;   90,00;ASBGSEX;BOY;BOY;210,247679118997;12,5423720732067;210,247679118997;12,5423720732067;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;ASMMAT0;   50,00;   90,00;ASBGSEX;GIRL;GIRL;92,9245139850523;6,33351636950081;92,9245139850523;6,33351636950081;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Australia;ASMMAT0;   50,00;   90,00;ASBGSEX;GIRL;BOY;92,9245139850523;6,33351636950081;92,2454353696133;6,26155152228523;-,679078615439028;7,27614055583472;-,0933295076184965;TOTWGT;JRR;HALF;Y;25-FEB-26;22h31m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
