"";"IDCNTRY";"percentile";"dvar";"groupvar";"refgroup";"compgroup";"val";"val_se";"cval";"cval_se";"valdiff";"valdiff_se";"valdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Australia";10;"ASMMAT0";"ASBGSEX";"GIRL";"GIRL";393,264623111452;6,3300379902988;393,264623111452;6,3300379902988;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"2";"Australia";10;"ASMMAT0";"ASBGSEX";"GIRL";"BOY";393,264623111452;6,3300379902988;389,921877021966;13,2360390113506;-3,34274608948652;10,0092898947307;-0,333964359574229;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"3";"Australia";10;"ASMMAT0";"ASBGSEX";"BOY";"GIRL";389,921877021966;13,2360390113506;393,264623111452;6,3300379902988;3,34274608948652;10,0092898947307;0,333964359574229;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"4";"Australia";10;"ASMMAT0";"ASBGSEX";"BOY";"BOY";389,921877021966;13,2360390113506;389,921877021966;13,2360390113506;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"5";"Australia";50;"ASMMAT0";"ASBGSEX";"GIRL";"GIRL";501,030622617034;7,55667714445319;501,030622617034;7,55667714445319;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"6";"Australia";50;"ASMMAT0";"ASBGSEX";"GIRL";"BOY";501,030622617034;7,55667714445319;507,924120771349;6,62088948370794;6,893498154315;7,01408518123982;0,982807875323877;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"7";"Australia";50;"ASMMAT0";"ASBGSEX";"BOY";"GIRL";507,924120771349;6,62088948370794;501,030622617034;7,55667714445319;-6,893498154315;7,01408518123982;-0,982807875323877;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"8";"Australia";50;"ASMMAT0";"ASBGSEX";"BOY";"BOY";507,924120771349;6,62088948370794;507,924120771349;6,62088948370794;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"9";"Australia";90;"ASMMAT0";"ASBGSEX";"GIRL";"GIRL";593,955136602087;4,53993280877405;593,955136602087;4,53993280877405;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"10";"Australia";90;"ASMMAT0";"ASBGSEX";"GIRL";"BOY";593,955136602087;4,53993280877405;600,169556140963;5,76092814782353;6,21441953887597;5,63329361002415;1,10315917633296;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"11";"Australia";90;"ASMMAT0";"ASBGSEX";"BOY";"GIRL";600,169556140963;5,76092814782353;593,955136602087;4,53993280877405;-6,21441953887597;5,63329361002415;-1,10315917633296;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
"12";"Australia";90;"ASMMAT0";"ASBGSEX";"BOY";"BOY";600,169556140963;5,76092814782353;600,169556140963;5,76092814782353;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h15m";75;5;"NONE"
