IDCNTRY;Variable;BSDAGE;BSMMAT0_;BSDAGE.se;BSMMAT0_.se;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Argentina, Buenos Aires;BSDAGE;1;-,187823644244777;0;,0352097281138249;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Argentina, Buenos Aires;BSMMAT0_;-,187823644244777;1;,0352097281138249;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;BSDAGE;1;-,0038460996897332;0;,0225995136576799;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;BSMMAT0_;-,0038460996897332;1;,0225995136576799;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSDAGE;1;-,159894524443644;0;,0179321709407791;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSMMAT0_;-,159894524443644;1;,0179321709407791;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;BSDAGE;1;-,40727718764548;0;,0143567751377058;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;BSMMAT0_;-,40727718764548;1;,0143567751377058;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSDAGE;1;-,0572909078814846;0;,0288332290309474;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSMMAT0_;-,0572909078814846;1;,0288332290309474;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Ontario);BSDAGE;1;,0174199480720547;0;,0210117058633583;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Ontario);BSMMAT0_;,0174199480720547;1;,0210117058633583;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Quebec);BSDAGE;1;-,331438801765972;0;,0432739916090779;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Quebec);BSMMAT0_;-,331438801765972;1;,0432739916090779;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;BSDAGE;1;-,240066343878191;0;,0214919692535152;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;BSMMAT0_;-,240066343878191;1;,0214919692535152;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;BSDAGE;1;,0181485040261621;0;,0184540565291117;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;BSMMAT0_;,0181485040261621;1;,0184540565291117;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Egypt;BSDAGE;1;-,158990059959213;0;,0197388457377894;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Egypt;BSMMAT0_;-,158990059959213;1;,0197388457377894;0;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
England;BSDAGE;1;,0497969705978801;0;,0192801740052926;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;23h57m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
