"";"IDCNTRY";"Variable";"TOTWGT";"mean";"stdev";"TOTWGT.se";"mean.se";"stdev.se";"NObs";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Argentina, Buenos Aires";"BSDAGE";41911,4388259999;14,0712892669012;0,80631960829769;1377,11668587437;0,0251181923460144;0,0335584912837501;3245;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"2";"Argentina, Buenos Aires";"BSMMAT0_";41911,4388259999;396,075125196491;88,7403489054817;1377,11668587437;4,18963650825712;2,07512376983139;3245;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"3";"Australia";"BSDAGE";266338,242872005;13,9821730502945;0,461874845450859;4019,336950592;0,00756991069911977;0,0052543350241827;10326;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"4";"Australia";"BSMMAT0_";266338,242872005;505,007371813104;82,3273431631749;4019,336950592;3,10820379022701;1,88352506633332;10326;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"5";"Bahrain";"BSDAGE";14470,9992470001;13,9573671889224;0,614302208234047;71,608504270717;0,00972805955077659;0,0155126580577128;4918;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"6";"Bahrain";"BSMMAT0_";14470,9992470001;453,952558722807;80,3260148105179;71,608504270717;1,43720791815309;1,41135811405954;4918;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"7";"Botswana";"BSDAGE";41162,6613610002;15,6095806467799;0,932832453010792;478,389499067642;0,0164543240549389;0,0118909365774155;5952;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"8";"Botswana";"BSMMAT0_";41162,6613610002;390,890927802733;83,4089456931952;478,389499067642;2,04476497033262;1,12591067070289;5952;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"9";"Canada";"BSDAGE";228913,529098997;13,9567477304298;0,485017525949503;4004,03000199642;0,0113811940180274;0,0203677035205321;8750;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"10";"Canada";"BSMMAT0_";228913,529098997;527,357362521688;69,7264963615928;4004,03000199642;2,14842751460888;1,26837652214697;8750;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"11";"Canada (Ontario)";"BSDAGE";138600,545944001;13,8017670162627;0,321046612688045;3297,30541533243;0,00585726028455624;0,00722317767048477;4517;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"12";"Canada (Ontario)";"BSMMAT0_";138600,545944001;522,325448479391;70,823404525649;3297,30541533243;2,84388697996232;1,52668085121488;4517;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"13";"Canada (Quebec)";"BSDAGE";72924,4793900002;14,2654881719475;0,604408373377476;1983,17520434208;0,0297182199548652;0,0357865650131318;3946;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"14";"Canada (Quebec)";"BSMMAT0_";72924,4793900002;543,586507943676;64,0834612681871;1983,17520434208;3,81777407293442;2,34218359670029;3946;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"15";"Chile";"BSDAGE";241813,623774;14,2858491415197;0,716627795066701;4008,17407899161;0,0215640260138572;0,0219486866632549;4848;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"16";"Chile";"BSMMAT0_";241813,623774;427,42577257444;79,96297393486;4008,17407899161;3,21915410385586;1,92357026605267;4848;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"17";"Chinese Taipei";"BSDAGE";266911,286583006;14,2617463110853;0,314774139477903;2244,98593607459;0,00485625655386042;0,00443731291937034;5711;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"18";"Chinese Taipei";"BSMMAT0_";266911,286583006;599,105016562337;97,1837661298112;2244,98593607459;2,42255725029604;1,69149522230633;5711;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"19";"Egypt";"BSDAGE";1341003,23847701;14,0834195849268;0,545607873136547;19723,9812355888;0,0131539152820597;0,0176252349762774;7822;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"20";"Egypt";"BSMMAT0_";1341003,23847701;392,22695579632;98,5647625130958;19723,9812355888;4,12480890216853;2,01235195295421;7822;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"21";"England";"BSDAGE";559953,906889;14,0639780766781;0,297757192480643;12326,6598805653;0,00712104652810782;0,00261995000997278;4814;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"22";"England";"BSMMAT0_";559953,906889;518,255125970573;79,8445441350583;12326,6598805653;4,16552790617288;2,62328733267087;4814;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"23";"Georgia";"BSDAGE";38990,0498099997;13,7487607986253;0,623361137416876;1153,70743414934;0,0301400005244996;0,014961593078202;4035;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"24";"Georgia";"BSMMAT0_";38990,0498099997;453,195392535151;91,9551094533678;1153,70743414934;3,44451916627481;1,70608676811188;4035;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"25";"Hong Kong, SAR";"BSDAGE";59240,6107559993;14,2373333984648;0,65626232416171;907,566683556923;0,0188789861202441;0,0191854237921709;4154;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"26";"Hong Kong, SAR";"BSMMAT0_";59240,6107559993;594,238524670022;78,3992405991561;907,566683556923;4,6165216066115;2,7968508883613;4154;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"27";"Hungary";"BSDAGE";85001,022581001;14,7035011369711;0,525247354139164;2137,6040766372;0,0125783071168469;0,0145427500958248;4891;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"28";"Hungary";"BSMMAT0_";85001,022581001;514,413228431956;93,3962035086735;2137,6040766372;3,78080034791634;2,24326088632804;4891;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"29";"Iran, Islamic Republic of";"BSDAGE";960123,210057017;14,150844281983;0,450337072113939;10472,0455391072;0,00963235651788079;0,0211392650795833;6129;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
"30";"Iran, Islamic Republic of";"BSMMAT0_";960123,210057017;436,348219341388;94,0869949436563;10472,0455391072;4,64274067989416;2,7311815757879;6129;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"20h45m";150;5;"NONE"
