IDCNTRY;Variable;Mean;stdev;TOTWGT;NObs;TOTWGT.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Argentina, Buenos Aires;BSDGHER;2,0804512366137;,515290604799279;37949,2586379999;2978;1410,20122796078;,0186916724205424;,0116770683427313;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Argentina, Buenos Aires;BSDGSLM;2,30722425439756;,74698969750025;37949,2586379999;2978;1410,20122796078;,0185929965541411;,00930784300876319;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;BSDGHER;1,80890473714896;,479957193671696;256363,852903003;9821;4357,77551307542;,0110678337119549;,00652811387579355;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;BSDGSLM;2,3657116084867;,706975145613185;256363,852903003;9821;4357,77551307542;,016915360379567;,00739922609223123;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSDGHER;2,04694230232031;,463886333437741;13910,739519;4711;87,1289870604482;,00781239773124773;,00732981815295671;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSDGSLM;2,23296297832144;,766524141407772;13910,739519;4711;87,1289870604482;,020886756429876;,00594974214872745;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;BSDGHER;2,44641493295966;,541843058735093;39486,3590429991;5721;451,665650997382;,0131860124963284;,00370842267561599;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;BSDGSLM;1,61017848211235;,685824754981835;39486,3590429991;5721;451,665650997382;,0150794655271619;,00645143320280027;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSDGHER;1,8067930606433;,448340424007669;220638,483638002;8523;3986,96899963805;,00999937364063755;,0061233682756264;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSDGSLM;2,19201692143384;,746734872597845;220638,483638002;8523;3986,96899963805;,0164947165490695;,00583480328946897;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
