IDCNTRY;Variable;BSSSCI0_;BSMALG0_;BSSSCI0_.se;BSMALG0_.se;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Argentina, Buenos Aires;BSSSCI0_;1;,605122523620696;0;,0210467716309751; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Argentina, Buenos Aires;BSMALG0_;,605122523620696;1;,0210467716309751;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;BSSSCI0_;1;,759564715898734;0;,0102540037956722; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;BSMALG0_;,759564715898734;1;,0102540037956722;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSSSCI0_;1;,661364200461228;0;,0124234396418082; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSMALG0_;,661364200461228;1;,0124234396418082;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;BSSSCI0_;1;,72535702558507;0;,0107541539701382; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;BSMALG0_;,72535702558507;1;,0107541539701382;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSSSCI0_;1;,696116699992158;0;,0113812652850584; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;BSMALG0_;,696116699992158;1;,0113812652850584;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Ontario);BSSSCI0_;1;,709742395654302;0;,0113477859337022; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Ontario);BSMALG0_;,709742395654302;1;,0113477859337022;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Quebec);BSSSCI0_;1;,695572542766695;0;,02040537392545; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Quebec);BSMALG0_;,695572542766695;1;,02040537392545;0; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;BSSSCI0_;1;,692478608439831;0;,0144833529590993; BSSSCI0_ BSMALG0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26; 1h45m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
