"";"IDCNTRY";"Variable";"TOTWGT";"mean";"stdev";"TOTWGT.se";"mean.se";"stdev.se";"NObs";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Argentina, Buenos Aires";"BSSSCI0_";42017,9460939999;386,01319856949;97,5560473736847;1382,84617642942;4,23901455149802;2,42615920329113;3253;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"2";"Argentina, Buenos Aires";"BSMALG0_";42017,9460939999;370,844619432401;102,752398463975;1382,84617642942;5,13088467478058;2,48510961138144;3253;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"3";"Australia";"BSSSCI0_";266454,221214005;511,986505485827;81,7426949744572;4018,17271945226;2,6758039773536;1,48400078880188;10338;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"4";"Australia";"BSMALG0_";266454,221214005;490,522858340628;84,1891888493252;4018,17271945226;3,36659437029995;2,12860830064487;10338;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"5";"Bahrain";"BSSSCI0_";14470,9992470001;465,852506720255;105,569097784515;71,608504270717;2,18075236974437;1,75744828998541;4918;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"6";"Bahrain";"BSMALG0_";14470,9992470001;482,761286267429;74,9736160251031;71,608504270717;2,08923556567646;1,36651863132791;4918;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"7";"Botswana";"BSSSCI0_";41247,2199370002;391,801411109658;108,590988050941;476,574210067074;2,74688104264479;1,44019109317417;5964;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"8";"Botswana";"BSMALG0_";41247,2199370002;399,824702964927;78,3674022605277;476,574210067074;2,26178875478317;1,55454519643773;5964;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"9";"Canada";"BSSSCI0_";229175,054232997;526,171839616184;70,1755345993347;4026,39648477622;2,18324539248122;1,43917470974632;8757;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"10";"Canada";"BSMALG0_";229175,054232997;513,148866166831;69,1886758585696;4026,39648477622;2,20802022793931;1,65016934241794;8757;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"11";"Canada (Ontario)";"BSSSCI0_";138700,067096001;523,872004130119;71,2513249394125;3308,92405102082;2,50754814690407;1,80689996104057;4520;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"12";"Canada (Ontario)";"BSMALG0_";138700,067096001;507,419950037605;69,9099565689054;3308,92405102082;2,99588164804542;1,67150631617831;4520;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"13";"Canada (Quebec)";"BSSSCI0_";73086,4833720002;529,716447156971;68,0123646294631;2018,72404793153;4,37487066019112;2,69900681770607;3950;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"14";"Canada (Quebec)";"BSMALG0_";73086,4833720002;530,392551150331;64,4150634992213;2018,72404793153;4,35433499124349;2,47054497708959;3950;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"15";"Chile";"BSSSCI0_";241862,280816;453,9691929359;81,073982827527;4007,1110631346;3,08777491846917;1,54190861827705;4849;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"16";"Chile";"BSMALG0_";241862,280816;413,445513637153;82,6100586412775;4007,1110631346;3,37529310087521;2,18677084432882;4849;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"17";"Chinese Taipei";"BSSSCI0_";266911,286583006;569,47368672187;83,0380803676488;2244,98593607459;2,06703256004331;1,20785700966527;5711;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"18";"Chinese Taipei";"BSMALG0_";266911,286583006;613,240434854128;104,737866514069;2244,98593607459;2,83145773644684;2,19919757201682;5711;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"19";"Egypt";"BSSSCI0_";1341003,23847701;370,776691426222;114,632139214076;19723,9812355888;4,30149123225408;1,87657089856685;7822;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"20";"Egypt";"BSMALG0_";1341003,23847701;419,700056375658;99,6679925973795;19723,9812355888;4,330086033545;2,36238668668786;7822;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"21";"England";"BSSSCI0_";559953,906889;536,629973290652;81,2427525098572;12326,6598805653;3,81052845336961;2,29803288995069;4814;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"22";"England";"BSMALG0_";559953,906889;492,424149649211;90,0201533524011;12326,6598805653;4,68674158293114;2,79194314431446;4814;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"23";"Georgia";"BSSSCI0_";38990,0498099997;443,165909943642;86,5986568890381;1153,70743414934;3,12639992121636;1,70021612074076;4035;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"24";"Georgia";"BSMALG0_";38990,0498099997;468,702432454011;94,7980483390543;1153,70743414934;3,77734577105785;1,75127352960326;4035;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
"25";"Hong Kong, SAR";"BSSSCI0_";59247,5816299993;545,760354704954;71,5118694365221;907,593454351682;3,92282731763785;2,22841741748725;4155;" BSSSCI0_ BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"22h 0m";150;5;"NONE"
