IDCNTRY;Variable;Mean;stdev;TOTWGT;NObs;TOTWGT.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Argentina, Buenos Aires;RBSDGHER;1556,64317567375;673,316799849259;37949,2586379999;2978;1410,20122796078;24,4156575638232;15,151594313074; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Argentina, Buenos Aires;RBSDGSLM;1460,6308485097;793,753934501357;37949,2586379999;2978;1410,20122796078;19,3526342324224;6,79519218546472; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;RBSDGHER;4933,38046872013;2165,18499912355;256363,852903003;9821;4357,77551307542;49,6144016658994;27,6061615537595; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;RBSDGSLM;4979,42144452848;2572,20336559613;256363,852903003;9821;4357,77551307542;61,912222138635;17,5250097739618; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;RBSDGHER;2391,44804256843;974,158390553761;13910,739519;4711;87,1289870604482;16,4637107973447;15,4376794827557; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;RBSDGSLM;2379,02115711906;1262,58935537141;13910,739519;4711;87,1289870604482;34,9536170263775;7,88673908085109; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;RBSDGHER;2957,8167710711;1438,7945322378;39486,3590429991;5721;451,665650997382;35,1778034003926;4,91757562966471; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;RBSDGSLM;2810,20749621587;1483,4424476848;39486,3590429991;5721;451,665650997382;33,3930924275503;8,74159460305933; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;RBSDGHER;4330,46647124077;1823,64692120534;220638,483638002;8523;3986,96899963805;40,5176044595819;24,4337717941604; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;RBSDGSLM;4246,43859899168;2292,05280608898;220638,483638002;8523;3986,96899963805;51,1564714961614;15,4869352456238; RBSDGHER RBSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h 9m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
