IDCNTRY;BSBG01;xvar;n;TOTWGT;sumw_se;tsumw;tsumw_se;pct;pct_se;tpct;tpct_se;mnx;mnx_se;sdx;sdx_se;vrx;vrx_se;DEff;pctmiss;nvarstrat;weight;reps;method;jk2type;date;time;infile;selcrit
Australia;Girl;BSDGSLM;5096;134157,773191;3863,47740195416;134620,746785;3866,69005448799;51,3020766451205;1,60860065177764;51,1668215572465;1,6049961207598;2,44578079668822;,0186325417962671;,680655030742251;,00861005151941181;,463291270874735;,0117205878695374;3,81873489766303;,343909542218932;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;Boy;BSDGSLM;4919;127347,768035001;5456,88573595615;128480,893473001;5455,87199681937;48,6979233548795;1,60860065177765;48,8331784427535;1,6049961207598;2,28664179673699;,0219816650995349;,724785186246546;,0102865248978279;,52531356620244;,0149101166442941;4,52459154687088;,881940814209949;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;Girl;BSDGSLM;2274;6917,71192;145,185622078841;6974,170787;143,595819840889;48,4409509284184;,945333544833652;48,2146753078988;,935446295047517;2,28238974007463;,0274693350293278;,765519866604126;,0101558785231353;,5860206661656;,0155477707136301;2,92801853163192;,809542363161517;55;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;Boy;BSDGSLM;2570;7362,998486;135,738070616286;7490,659148;136,023861565926;51,5590490715816;,945333544833655;51,7853246921012;,935446295047521;2,18736944298212;,0270481463860777;,7624815277619;,00769874224890556;,581378080178122;,0117399505158073;3,234070524873;1,70426473128316;54;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;Girl;BSDGSLM;2962;20576,2685839999;378,408679441097;21053,1424439999;382,993296604886;51,6594194722047;,608366078445749;51,1300922375715;,603163049009121;1,58931662247202;,0199101380535463;,678810317087171;,00873214415369828;,460783446583986;,0118546331050869;2,54821887361785;2,26509586997977;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;Boy;BSDGSLM;2805;19254,354358;282,484118585193;20122,4970329999;300,768149187643;48,3405805277953;,608366078445743;48,8699077624285;,603163049009122;1,63940466416548;,0182397454413558;,691256379056651;,00777574138445466;,477835381586513;,0107498927790549;1,95295441918455;4,31428899493084;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;Girl;BSDGSLM;4366;112460,557776001;2647,29955066879;113351,146068002;2607,67881694456;50,741570967364;,954983013945764;50,6513777530704;,949018804328472;2,2518839613122;,0183375142549615;,736274932561658;,00860797111795233;,542100776318675;,0126750185952032;2,70822430324883;,785689711038051;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;Boy;BSDGSLM;4186;109173,411437001;3128,25629653666;110435,749958001;3149,45880646085;49,258429032636;,954983013945768;49,3486222469296;,949018804328475;2,13033509297462;,0198487300827393;,753198008853164;,0078487877271144;,56730724054037;,0118231421683491;2,90700881941119;1,14305242775104;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;Girl;BSDGSLM;2303;114363,959884;4901,5128725967;114404,713622;4901,74422073606;47,7459096922283;1,78691932477689;47,6439769281504;1,78263954811306;2,3978392177234;,0234843868524841;,73204619811467;,0112417041306855;,535891636174143;,0164582702844119;2,37014769958112;,0356224291025741;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;Boy;BSDGSLM;2496;125162,233294;4484,91992345835;125719,476251;4513,33240176089;52,2540903077717;1,78691932477689;52,3560230718496;1,78263954811306;2,2815034153173;,0241488078012876;,743246528420132;,00832857264698039;,552415402008577;,0123798661375259;2,6349367352783;,443243142285655;75;TOTWGT;150;JRR;FULL;26-FEB-26; 7h31m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
