"";"IDCNTRY";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnx";"mnx_se";"cmnx";"cmnx_se";"mnxdiff";"mnxdiff_se";"mnxdiff_t";"weight";"method";"jk2type";"date";"time";"reps";"selcrit"
"1";"Australia";"BSDGSLM";"BSBG01";"Girl";"Girl";51,3020766451205;1,60860065177764;51,3020766451205;1,60860065177764;0;NA;NA;2,44578079668822;0,0186325417962671;2,44578079668822;0,0186325417962671;0;NA;NA;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"2";"Australia";"BSDGSLM";"BSBG01";"Girl";"Boy";51,3020766451205;1,60860065177764;48,6979233548795;1,60860065177765;-2,604153290241;3,21720130355529;-0,809446796929737;2,44578079668822;0,0186325417962671;2,28664179673699;0,0219816650995349;-0,159138999951228;0,0224331321394306;-7,09392691854699;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"3";"Australia";"BSDGSLM";"BSBG01";"Boy";"Girl";48,6979233548795;1,60860065177765;51,3020766451205;1,60860065177764;2,604153290241;3,21720130355529;0,809446796929737;2,28664179673699;0,0219816650995349;2,44578079668822;0,0186325417962671;0,159138999951228;0,0224331321394306;7,09392691854699;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"4";"Australia";"BSDGSLM";"BSBG01";"Boy";"Boy";48,6979233548795;1,60860065177765;48,6979233548795;1,60860065177765;0;NA;NA;2,28664179673699;0,0219816650995349;2,28664179673699;0,0219816650995349;0;NA;NA;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"5";"Bahrain";"BSDGSLM";"BSBG01";"Girl";"Girl";48,4409509284184;0,945333544833652;48,4409509284184;0,945333544833652;0;NA;NA;2,28238974007463;0,0274693350293278;2,28238974007463;0,0274693350293278;0;NA;NA;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"6";"Bahrain";"BSDGSLM";"BSBG01";"Girl";"Boy";48,4409509284184;0,945333544833652;51,5590490715816;0,945333544833655;3,11809814316319;1,89066708966731;1,64920527796984;2,28238974007463;0,0274693350293278;2,18736944298212;0,0270481463860777;-0,0950202970925167;0,0360788558732342;-2,63368376830955;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"7";"Bahrain";"BSDGSLM";"BSBG01";"Boy";"Girl";51,5590490715816;0,945333544833655;48,4409509284184;0,945333544833652;-3,11809814316319;1,89066708966731;-1,64920527796984;2,18736944298212;0,0270481463860777;2,28238974007463;0,0274693350293278;0,0950202970925167;0,0360788558732342;2,63368376830955;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"8";"Bahrain";"BSDGSLM";"BSBG01";"Boy";"Boy";51,5590490715816;0,945333544833655;51,5590490715816;0,945333544833655;0;NA;NA;2,18736944298212;0,0270481463860777;2,18736944298212;0,0270481463860777;0;NA;NA;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"9";"Botswana";"BSDGSLM";"BSBG01";"Girl";"Girl";51,6594194722047;0,608366078445749;51,6594194722047;0,608366078445749;0;NA;NA;1,58931662247202;0,0199101380535463;1,58931662247202;0,0199101380535463;0;NA;NA;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
"10";"Botswana";"BSDGSLM";"BSBG01";"Girl";"Boy";51,6594194722047;0,608366078445749;48,3405805277953;0,608366078445743;-3,31883894440933;1,21673215689149;-2,72766600735556;1,58931662247202;0,0199101380535463;1,63940466416548;0,0182397454413558;0,0500880416934555;0,0234447401804979;2,13642980505795;"TOTWGT";"JRR";"FULL";"04-MAR-26";"12h58m";150;"NONE"
