BSBG01;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnpv;mnpv_se;cmnpv;cmnpv_se;mnpvdiff;mnpvdiff_se;mnpvdiff_t;mnpvdiff_ci;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Girl;BSMMAT0;IDCNTRY;Australia;Australia;51,1668215572466;1,60499612075975;51,1668215572466;1,60499612075975;0; ; ;504,44953504007;3,84288662134017;504,44953504007;3,84288662134017;0; ; ; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Bahrain;51,1668215572466;1,60499612075975;48,2146753078988;,935446295047517;-2,9521462493478;1,85770619813036;-1,58913516697038;504,44953504007;3,84288662134017;461,998717877836;2,40613898498576;-42,4508171622341;4,53401393905483;-9,36274518182964;-51 to -34;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Botswana;51,1668215572466;1,60499612075975;51,1300922375714;,60316304900907;-,0367293196751888;1,71458980848008;-,0214216365299336;504,44953504007;3,84288662134017;400,267350435384;2,50662849331126;-104,182184604686;4,58813295229717;-22,7068800507458;-113 to -95;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Canada;51,1668215572466;1,60499612075975;50,6513777530705;,949018804328567;-,515443804176127;1,86457749600897;-,276440000632534;504,44953504007;3,84288662134017;525,830709549644;1,89398944230001;21,3811745095737;4,28427048539411;4,99062199328128;13 to 30;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Chile;51,1668215572466;1,60499612075975;47,6439769281503;1,78263954811311;-3,52284462909632;2,39871138450435;-1,46864047582125;504,44953504007;3,84288662134017;418,373639708096;3,67068443781212;-86,0758953319743;5,31429222253268;-16,1970572425452;-96 to -76;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Chinese Taipei;51,1668215572466;1,60499612075975;48,7197699211488;,815828094772333;-2,44705163609779;1,80044106481543;-1,35914009290199;504,44953504007;3,84288662134017;599,067987345619;2,57138867938189;94,6184523055492;4,62383145507366;20,463213943866;86 to 104;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Georgia;51,1668215572466;1,60499612075975;47,2276144102369;,861430232043581;-3,93920714700977;1,8215582868337;-2,16254795439846;504,44953504007;3,84288662134017;453,734108038117;3,96428747474155;-50,7154270019529;5,52117313320891;-9,18562518840575;-62 to -40;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Hong Kong, SAR;51,1668215572466;1,60499612075975;47,4516023062428;2,07690738058794;-3,71521925100381;2,62479652834167;-1,41543133377697;504,44953504007;3,84288662134017;591,519533685836;4,69093005655836;87,0699986457659;6,06404175282442;14,3584101486787;75 to 99;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Hungary;51,1668215572466;1,60499612075975;49,6372120223581;,869124199633006;-1,52960953488852;1,82520941868093;-,838046045145861;504,44953504007;3,84288662134017;509,737434066688;4,30129598461791;5,28789902661771;5,76792204626288;,916777131210332;-6 to 17;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;BSMMAT0;IDCNTRY;Australia;Iran, Islamic Republic of;51,1668215572466;1,60499612075975;47,6053022201228;,867412484549893;-3,56151933712384;1,82439495888551;-1,95216464492947;504,44953504007;3,84288662134017;437,953389804787;4,96826916220887;-66,4961452352833;6,28104100071245;-10,5868032429243;-79 to -54;TOTWGT;JRR;FULL;N;26-FEB-26; 7h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
