"";"IDCNTRY";"EqVar";"b";"ExpB";"df";"b.se";"ExpB.se";"b.wald";"b.sig";"dvar";"convar";"catvar";"contrast";"refcats";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Argentina, Buenos Aires";"CONSTANT";1,66904395820404;5,91549832863049;1;1,1265938325487;7,95493139233858;2,19482961336454;0,138474520548409;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"2";"Argentina, Buenos Aires";"BSDAGE";-0,365639495581838;0,69402778100055;1;0,0765593296124408;0,0528642993891994;22,8091950196448;1,78907687446494e-06;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"3";"Argentina, Buenos Aires";"BSDGSLM(1)";0,767015513746897;2,17945329254571;1;0,371181291786647;0,814593668716354;4,27008124785668;0,0387890757654613;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"4";"Argentina, Buenos Aires";"BSDGSLM(2)";0,689105128579135;2,02004813452204;1;0,338153298396591;0,712720361242795;4,15282574566706;0,0415651050327587;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"5";"Argentina, Buenos Aires";"BSBG01(1)";-0,700819609205095;0,511111975793078;1;0,385193265692394;0,1889214312814;3,31020673954265;0,0688508297865198;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"6";"Australia";"CONSTANT";-1,15766483224177;0,357993252340601;1;1,44977096110089;0,573546793999334;0,637627277319456;0,424571302627975;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"7";"Australia";"BSDAGE";-0,0261068775526186;0,975017372965346;1;0,102613697209937;0,100438093426231;0,0647290440348556;0,799171848897918;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"8";"Australia";"BSDGSLM(1)";1,61407702649541;5,02491993704459;1;0,0970972532972195;0,487331342545701;276,334190463462;4,72561192293265e-62;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"9";"Australia";"BSDGSLM(2)";1,03664387708353;2,82034050692349;1;0,0724741672289599;0,204442057573945;204,593911890911;2,07679124739873e-46;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
"10";"Australia";"BSBG01(1)";0,100740327977811;1,10620983793967;1;0,100133498062802;0,110727313814285;1,01215714390902;0,314386608186264;"BSMMAT0_DIC";"BSDAGE";"BSDGSLM BSBG01";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGT";"JRR";"FULL";"N";"05-MAR-26";" 0h 2m";150;5;"NONE"
