IDCNTRY;LL;CSR;NKR;LL.svr;LL.se;CSR.se;NKR.se;dvar;convar;catvar;contrast;refcats;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Argentina, Buenos Aires;11368,3605846404;,0120973879133759;,0456954891906979;2363730,82592711;1815,64905574358;,00453688877427977;,0173578252553114;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;302577,495943958;,075625200163208;,106609667099744;65055839,9549112;8169,60661427198;,00832467507763333;,0115480439826572;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;9792,89780211689;,0354308381596671;,0689405335312507;94283,5959664036;369,665040295358;,0066197863526228;,0127115390524176;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;7020,62218226725;,0181797477728989;,102743829355738;495569,598891212;757,250241430363;,00367525001680706;,0199911972748073;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;281584,990440572;,0728466223362051;,0984516863634335;39164989,3777807;6275,28903754869;,00845172354035628;,0114166200318867;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Ontario);162567,744403033;,10701959396496;,145861733148585;25405552,8023318;5107,75749707933;,0117097726899974;,0160688429791207;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Quebec);87856,758180761;,12043406892528;,160610044137182;10472073,4634966;3269,91427967795;,022592133314847;,0301479541435226;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;108546,956844278;,0344161138853993;,0891581930338723;69342962,5533392;9187,09694019058;,00799554971807564;,0186197222271785;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;286894,30167338;,103130188922628;,148477455216858;25291590,7853829;5375,09450319013;,00987619838919238;,0138292767428346;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Egypt;521014,938496558;,0275416587506092;,0796863154620219;1687578972,35518;42204,3215218818;,00494227000061548;,0131333986842204;BSMMAT0_DIC;BSDAGE;BSDGSLM BSBG01;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;FULL;N;26-FEB-26; 7h17m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
