"";"IDCNTRY";"EqVar";"TOTWGT";"mean";"stdev";"var";"TOTWGT.se";"mean.se";"stdev.se";"var.se";"NObs";"xvar";"dvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Argentina, Buenos Aires";"BSDAGE";38202,470662;14,0597052749908;0,794109033396217;0,630609156921474;1428,82117548886;0,0245727792493146;0,0367121138639995;0,0582934270794218;2995;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"2";"Argentina, Buenos Aires";"BSMALG0_";38202,470662;370,0133374403;103,608393620648;10735,3262721701;1428,82117548886;5,38523803090581;2,61637749843761;542,183113504531;2995;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"3";"Argentina, Buenos Aires";"BSDGSLM_D2";38202,470662;0,347870830386347;0,47630101215672;0,226862654181516;1428,82117548886;0,0104033165624922;0,00332301118133775;0,00316545340682214;2995;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"4";"Argentina, Buenos Aires";"BSDGSLM_D3";38202,470662;0,480702299217173;0,499633999290301;0,24963413324682;1428,82117548886;0,0117214588310398;0,00045344051265794;0,000453101902218624;2995;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"5";"Argentina, Buenos Aires";"BSBG01_D2";38202,470662;0,489837975626372;0,499903265450514;0,249903274808087;1428,82117548886;0,0163191884231449;0,000339647905800595;0,000339563528252611;2995;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"6";"Argentina, Buenos Aires";"BSSSCI0_";38202,470662;387,092691335862;98,4514067267857;9694,54576280954;1428,82117548886;4,41562534269894;2,47437768215521;487,339110429926;2995;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"7";"Australia";"BSDAGE";261503,500741006;13,9803114982607;0,462176946726312;0,213607530085256;4406,50602789113;0,00773994415226151;0,00533240505663375;0,00492899043388574;10014;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"8";"Australia";"BSMALG0_";261503,500741006;491,457863474496;84,1247852026399;7078,00968700803;4406,50602789113;3,34884114084932;2,13155497658452;358,482849893218;10014;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"9";"Australia";"BSDGSLM_D2";261503,500741006;0,364548323165341;0,481304196009071;0,231653729095938;4406,50602789113;0,00930731566121658;0,00262000939228227;0,00252193164174019;10014;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"10";"Australia";"BSDGSLM_D3";261503,500741006;0,501872880937;0,499997448310865;0,249997448317376;4406,50602789113;0,0116931872641836;5,40385788557214e-05;5,40373227845661e-05;10014;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"11";"Australia";"BSBG01_D2";261503,500741006;0,486983033397806;0,499831485549204;0,249831513946325;4406,50602789113;0,0160865489806627;0,000426905578041374;0,000426731389788108;10014;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"12";"Australia";"BSSSCI0_";261503,500741006;513,126618452584;81,3375989324344;6615,9363020423;4406,50602789113;2,62069248584237;1,48591933989247;241,668516466024;10014;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"13";"Bahrain";"BSDAGE";14280,7104060001;13,9528491019453;0,604806576939673;0,365790995509484;79,2387887705636;0,00950182218742747;0,0152205441724273;0,0184100323593683;4844;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"14";"Bahrain";"BSMALG0_";14280,7104060001;483,450232413793;74,7139240973768;5582,59971036661;79,2387887705636;2,12430590948404;1,3653458763855;203,914642375934;4844;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"15";"Bahrain";"BSDGSLM_D2";14280,7104060001;0,359643277679105;0,479912615250649;0,230316118276717;79,2387887705636;0,00983666714152584;0,00287725051230827;0,00276158170809102;4844;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"16";"Bahrain";"BSDGSLM_D3";14280,7104060001;0,43687745039481;0,496016907030377;0,246032772059981;79,2387887705636;0,0135766702354215;0,0017292998864142;0,00171540874123724;4844;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"17";"Bahrain";"BSBG01_D2";14280,7104060001;0,515590490715812;0,499774376029319;0,249774426935496;79,2387887705636;0,00945333544833637;0,000298830382887493;0,000298672811254637;4844;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"18";"Bahrain";"BSSSCI0_";14280,7104060001;467,050141963246;104,557174318868;10932,7885598383;79,2387887705636;2,20238569178052;1,68597947651119;352,502259437175;4844;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"19";"Botswana";"BSDAGE";39750,8643659998;15,5922745817033;0,922280977029279;0,850602200590082;456,623583482252;0,0172305986130044;0,0121568362408161;0,0224238503238587;5756;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"20";"Botswana";"BSMALG0_";39750,8643659998;402,979021832378;77,3196464753433;5979,32656310017;456,623583482252;2,24373913699485;1,5889991839014;245,167837007137;5756;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"21";"Botswana";"BSDGSLM_D2";39750,8643659998;0,381396177864436;0,485735595586554;0,235939068819825;456,623583482252;0,00980824970224059;0,00239512474343149;0,00232674772323028;5756;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"22";"Botswana";"BSDGSLM_D3";39750,8643659998;0,116294606236388;0,320581902512656;0,102772756218634;456,623583482252;0,00556251090135024;0,0066581181250701;0,00426883834274325;5756;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"23";"Botswana";"BSBG01_D2";39750,8643659998;0,482850889713406;0,499712107065111;0,249712189947453;456,623583482252;0,00602923486933877;0,00020711497130028;0,000206994255938536;5756;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"24";"Botswana";"BSSSCI0_";39750,8643659998;396,52542260403;106,535646651342;11350,1011330328;456,623583482252;2,72338285122472;1,44016054505178;306,938693950126;5756;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"25";"Canada";"BSDAGE";221523,212340997;13,9523102751051;0,481273914883215;0,231624581147016;3956,10035467255;0,0114714211823841;0,021345227074604;0,0205378938368339;8550;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"26";"Canada";"BSMALG0_";221523,212340997;514,265962001447;69,0241918179869;4765,4241691615;3956,10035467255;2,02711007104907;1,72333412953596;239,103864003151;8550;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"27";"Canada";"BSDGSLM_D2";221523,212340997;0,405124463312919;0,490917223632644;0,240999720459183;3956,10035467255;0,00902120340482496;0,00174366124218448;0,00171195889443259;8550;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"28";"Canada";"BSDGSLM_D3";221523,212340997;0,39324122883297;0,488470717529083;0,238603641883377;3956,10035467255;0,0109328087761565;0,00238958158556902;0,00233443816037581;8550;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"29";"Canada";"BSBG01_D2";221523,212340997;0,492365114429207;0,49994283354618;0,249942836814183;3956,10035467255;0,00950491518781925;0,00014804849486386;0,000148027569764591;8550;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"30";"Canada";"BSSSCI0_";221523,212340997;527,974693358968;69,2735883715762;4799,10288523753;3956,10035467255;1,98874364820749;1,30844025537157;181,200583200016;8550;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"31";"Canada (Ontario)";"BSDAGE";134354,249955;13,8004139354897;0,321431137279771;0,103317976012967;3155,19163965062;0,00584202610251107;0,00761512569824464;0,00489504557441099;4409;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"32";"Canada (Ontario)";"BSMALG0_";134354,249955;508,368232911635;69,5005049757612;4831,15950765608;3155,19163965062;2,79346547734074;1,81645218443374;253,015014508894;4409;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"33";"Canada (Ontario)";"BSDGSLM_D2";134354,249955;0,401595875077057;0,490222823714361;0,240318416890481;3155,19163965062;0,0108782453019219;0,00218391950549977;0,00214115999108776;4409;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"34";"Canada (Ontario)";"BSDGSLM_D3";134354,249955;0,350241313897854;0,477047198684465;0,227574029772695;3155,19163965062;0,0137304780171408;0,00431097266056902;0,00411288548368284;4409;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"35";"Canada (Ontario)";"BSBG01_D2";134354,249955;0,501138051118969;0,500000565595993;0,250000565596313;3155,19163965062;0,0120388307255123;7,41865340528143e-05;7,41817227743083e-05;4409;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"36";"Canada (Ontario)";"BSSSCI0_";134354,249955;525,426502689783;70,1767965205652;4925,36208561038;3155,19163965062;2,36183699234732;1,61186301492276;226,133574808527;4409;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"37";"Canada (Quebec)";"BSDAGE";69873,9342319999;14,2582977998529;0,599997362025604;0,359996834437683;2164,03773689102;0,0307821471874803;0,0383403805760304;0,0459581644684096;3856;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"38";"Canada (Quebec)";"BSMALG0_";69873,9342319999;532,53751615541;64,1773002645846;4119,47104663715;2164,03773689102;3,83367297351849;2,39337722874268;307,531527843403;3856;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"39";"Canada (Quebec)";"BSDGSLM_D2";69873,9342319999;0,42442114631093;0,494258366694616;0,244291333047629;2164,03773689102;0,0153847622694661;0,00235577996348772;0,00232849092977722;3856;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"40";"Canada (Quebec)";"BSDGSLM_D3";69873,9342319999;0,458996620778684;0,498319452513966;0,248322276753819;2164,03773689102;0,0180002290685718;0,00148417897332211;0,0014789789642745;3856;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"41";"Canada (Quebec)";"BSBG01_D2";69873,9342319999;0,469822436203482;0,49909205516935;0,249092879533166;2164,03773689102;0,0185449892061708;0,00112760120559604;0,00112540417795985;3856;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"42";"Canada (Quebec)";"BSSSCI0_";69873,9342319999;532,496044468892;67,1074726189568;4503,93581000503;2164,03773689102;3,63477032569198;2,32405457993877;311,985634056876;3856;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"43";"Chile";"BSDAGE";239477,536136;14,2813752618914;0,714740556828764;0,510854063575891;3922,00968470181;0,0216212250367096;0,0219750586830403;0,0314107194489314;4798;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"44";"Chile";"BSMALG0_";239477,536136;413,875481976957;82,6361857315281;6829,99665500747;3922,00968470181;3,44621745309665;2,22705724019159;367,764588966625;4798;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"45";"Chile";"BSDGSLM_D2";239477,536136;0,338360957534582;0,473152993008883;0,223873754793264;3922,00968470181;0,00850423356992039;0,00290536055743853;0,00274931878093575;4798;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"46";"Chile";"BSDGSLM_D3";239477,536136;0,499378263275112;0,50000065738501;0,250000657385442;3922,00968470181;0,0128514848638175;4,27126462359418e-05;4,27118242914823e-05;4798;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"47";"Chile";"BSBG01_D2";239477,536136;0,522443892945961;0,499497060561507;0,249497313509585;3922,00968470181;0,0178690295978495;0,000808501686284695;0,000807623673482987;4798;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"48";"Chile";"BSSSCI0_";239477,536136;454,582125555648;80,842324127732;6535,70167824407;3922,00968470181;3,09185000128925;1,51158090513193;244,386818447267;4798;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"49";"Chinese Taipei";"BSDAGE";266325,112546006;14,261760316423;0,314070432111864;0,0986402363269331;2242,23877313355;0,00484116810649758;0,00438525972466885;0,0027544561825852;5699;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"50";"Chinese Taipei";"BSMALG0_";266325,112546006;613,280747403677;104,731520596133;10970,0139330253;2242,23877313355;2,82541597301398;2,19356222186262;460,495165125616;5699;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"51";"Chinese Taipei";"BSDGSLM_D2";266325,112546006;0,332018102272368;0,470938334379742;0,221782914788366;2242,23877313355;0,00713678475288354;0,00254570653472555;0,00239772519677387;5699;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"52";"Chinese Taipei";"BSDGSLM_D3";266325,112546006;0,559776634436777;0,496414825790226;0,246427679264341;2242,23877313355;0,00968728054712272;0,0011666913435116;0,00115831169310089;5699;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"53";"Chinese Taipei";"BSBG01_D2";266325,112546006;0,512478928056106;0,499845190509711;0,249845214475689;2242,23877313355;0,00812099106602912;0,0002039413211885;0,000203873733762296;5699;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"54";"Chinese Taipei";"BSSSCI0_";266325,112546006;569,482978591561;83,0395000239085;6895,60781737325;2242,23877313355;2,06463796185897;1,20946815114988;200,879405858857;5699;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"55";"Egypt";"BSDAGE";1314499,65842701;14,0825181308498;0,545323422729377;0,297377635377283;19848,9656275777;0,0134072160578604;0,0179529926099563;0,0195778738811964;7679;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"56";"Egypt";"BSMALG0_";1314499,65842701;421,229142918714;99,2980004995881;9861,8987384744;19848,9656275777;4,27020936260364;2,2941815107261;454,277017213619;7679;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"57";"Egypt";"BSDGSLM_D2";1314499,65842701;0,415119450307032;0,492742810185438;0,242795476989442;19848,9656275777;0,0101640558294235;0,0017510832510017;0,00172563654371907;7679;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
"58";"Egypt";"BSDGSLM_D3";1314499,65842701;0,198578695622761;0,39893021737723;0,159145318336644;19848,9656275777;0,0104790434933766;0,00791811833942745;0,00631729530002537;7679;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"15h13m";150;5;"NONE"
