IDCNTRY;rsq;arsq;rsq.se;arsq.se;xvar;dvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Argentina, Buenos Aires;,39567130565122;,395592197727912;,0322549670374762;,0322589599665564; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;,611542853391585;,611535425841694;,0148188644277878;,0148191048095996; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;,455462079159613;,455271343969422;,0168571611400969;,0168631179648942; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;,538719431736477;,538661401526081;,0160408300804788;,0160428770168667; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;,526896963324788;,526886284627822;,0141112979019836;,014111595460847; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Ontario);,556610464528001;,556593963027772;,0159895154171396;,0159900971754106; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada (Quebec);,536024195615349;,535990991842439;,0277109391300135;,0277127931433906; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chile;,522048680366053;,522038701073162;,0193311131023786;,0193315590097794; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Chinese Taipei;,683010219653345;,683004268338449;,0115608598862865;,0115610810640174; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Egypt;,482627136327732;,48262516837277;,0159368660467052;,0159369237306751; BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_;BSMALG0_;TOTWGT;JRR;FULL;N;listwise;26-FEB-26; 5h13m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
