IDCNTRY;StratVar;NVarStrat
Australia;JKZONE;75
Bahrain;JKZONE;75
Botswana;JKZONE;75
Canada;JKZONE;75
Chile;JKZONE;75
Chinese Taipei;JKZONE;75
Georgia;JKZONE;75
Hong Kong, SAR;JKZONE;68
Hungary;JKZONE;74
Iran, Islamic Republic of;JKZONE;75
Ireland;JKZONE;75
Israel;JKZONE;75
Italy;JKZONE;75
Japan;JKZONE;74
Kazakhstan;JKZONE;75
Jordan;JKZONE;75
Korea, Republic of;JKZONE;75
Kuwait;JKZONE;75
Lebanon;JKZONE;70
Lithuania;JKZONE;75
Malaysia;JKZONE;75
Malta;JKZONE;75
Morocco;JKZONE;75
Oman;JKZONE;75
New Zealand;JKZONE;74
Norway;JKZONE;73
Qatar;JKZONE;75
Russian Federation;JKZONE;59
Saudi Arabia;JKZONE;72
Singapore;JKZONE;75
Slovenia;JKZONE;75
South Africa;JKZONE;75
Sweden;JKZONE;75
Thailand;JKZONE;75
United Arab Emirates;JKZONE;75
Turkey;JKZONE;75
Egypt;JKZONE;75
United States;JKZONE;75
England;JKZONE;73
Norway (8);JKZONE;72
United Arab Emirates (Dubai);JKZONE;75
United Arab Emirates (Abu Dhabi);JKZONE;75
Canada (Ontario);JKZONE;71
Canada (Quebec);JKZONE;63
Argentina, Buenos Aires;JKZONE;66
