"";"IDCNTRY";"BSBG01";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Australia";"Girl";"BSMMAT0";"Percentile";10;50;398,137218;6,65676303580608;506,253796;4,57420547992829;108,116578;5,70214362278646;18,9606900759134;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"2";"Australia";"Girl";"BSMMAT0";"Percentile";10;90;398,137218;6,65676303580608;608,437388;5,34010781775931;210,30017;7,30657215746073;28,7823298624736;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"3";"Australia";"Girl";"BSMMAT0";"Percentile";50;90;506,253796;4,57420547992829;608,437388;5,34010781775931;102,183592;4,98985445835291;20,4782710303197;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"4";"Australia";"Boy";"BSMMAT0";"Percentile";10;50;397,788376;6,00624366719132;509,324522;4,26525375571299;111,536146;5,76452468958158;19,3487151163708;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"5";"Australia";"Boy";"BSMMAT0";"Percentile";10;90;397,788376;6,00624366719132;611,729488;4,1831882734816;213,941112;6,91876199256008;30,9218776755229;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"6";"Australia";"Boy";"BSMMAT0";"Percentile";50;90;509,324522;4,26525375571299;611,729488;4,1831882734816;102,404966;4,49555764834418;22,7791464397566;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"7";"Bahrain";"Girl";"BSMMAT0";"Percentile";10;50;368,672566;7,10700461182033;461,687372;2,91065521684961;93,014806;7,18681719398129;12,9424199182215;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"8";"Bahrain";"Girl";"BSMMAT0";"Percentile";10;90;368,672566;7,10700461182033;555,081594;3,80479494078935;186,409028;7,48430983525294;24,9066423094843;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"9";"Bahrain";"Girl";"BSMMAT0";"Percentile";50;90;461,687372;2,91065521684961;555,081594;3,80479494078935;93,394222;4,37343240820456;21,3549023473628;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"10";"Bahrain";"Boy";"BSMMAT0";"Percentile";10;50;338,034284;3,88941334192523;443,402434;3,36014782579219;105,36815;3,8789698237406;27,1639519738235;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"11";"Bahrain";"Boy";"BSMMAT0";"Percentile";10;90;338,034284;3,88941334192523;558,734326;3,56277419406367;220,700042;5,35021851197723;41,2506594835204;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"12";"Bahrain";"Boy";"BSMMAT0";"Percentile";50;90;443,402434;3,36014782579219;558,734326;3,56277419406367;115,331892;4,4406948723791;25,9715867256178;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"13";"Botswana";"Girl";"BSMMAT0";"Percentile";10;50;296,508176;4,88587875231839;403,96053;2,75458060913998;107,452354;4,26367291329978;25,2018286076357;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"14";"Botswana";"Girl";"BSMMAT0";"Percentile";10;90;296,508176;4,88587875231839;497,89178;4,07005960043955;201,383604;5,55982726538394;36,2211979594825;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"15";"Botswana";"Girl";"BSMMAT0";"Percentile";50;90;403,96053;2,75458060913998;497,89178;4,07005960043955;93,93125;3,59206779771488;26,1496317134534;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"16";"Botswana";"Boy";"BSMMAT0";"Percentile";10;50;265,159086;5,29861525495824;383,829024;3,59608471281835;118,669938;5,40564767019587;21,952954620829;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"17";"Botswana";"Boy";"BSMMAT0";"Percentile";10;90;265,159086;5,29861525495824;492,489396;3,80066427671482;227,33031;6,65450572023649;34,1618625871316;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
"18";"Botswana";"Boy";"BSMMAT0";"Percentile";50;90;383,829024;3,59608471281835;492,489396;3,80066427671482;108,660372;5,22902097666034;20,7802516924304;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h19m";150;5;"NONE"
