IDCNTRY;dvar;refpctile;comppctile;groupvar;refgroup;compgroup;gap;gap_se;cgap;cgap_se;gapdiff;gapdiff_se;gapdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Australia;BSMMAT0;   10,00;   50,00;BSBG01;Girl;Girl;108,116578;5,70214362278646;108,116578;5,70214362278646;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;BSMMAT0;   10,00;   50,00;BSBG01;Girl;Boy;108,116578;5,70214362278646;111,536146;5,76452468958158;3,41956800000002;7,4359672382834;,459868621044305;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;BSMMAT0;   10,00;   50,00;BSBG01;Boy;Girl;111,536146;5,76452468958158;108,116578;5,70214362278646;-3,41956800000002;7,4359672382834;-,459868621044305;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;BSMMAT0;   10,00;   50,00;BSBG01;Boy;Boy;111,536146;5,76452468958158;111,536146;5,76452468958158;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;BSMMAT0;   10,00;   90,00;BSBG01;Girl;Girl;210,30017;7,30657215746073;210,30017;7,30657215746073;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;BSMMAT0;   10,00;   90,00;BSBG01;Girl;Boy;210,30017;7,30657215746073;213,941112;6,91876199256008;3,64094200000002;7,91946399324696;,459746013506053;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;BSMMAT0;   10,00;   90,00;BSBG01;Boy;Girl;213,941112;6,91876199256008;210,30017;7,30657215746073;-3,64094200000002;7,91946399324696;-,459746013506053;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;BSMMAT0;   10,00;   90,00;BSBG01;Boy;Boy;213,941112;6,91876199256008;213,941112;6,91876199256008;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;BSMMAT0;   50,00;   90,00;BSBG01;Girl;Girl;102,183592;4,98985445835291;102,183592;4,98985445835291;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;BSMMAT0;   50,00;   90,00;BSBG01;Girl;Boy;102,183592;4,98985445835291;102,404966;4,49555764834418;,221374000000003;5,59965980247428;,0395334730695936;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;BSMMAT0;   50,00;   90,00;BSBG01;Boy;Girl;102,404966;4,49555764834418;102,183592;4,98985445835291;-,221374000000003;5,59965980247428;-,0395334730695936;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;BSMMAT0;   50,00;   90,00;BSBG01;Boy;Boy;102,404966;4,49555764834418;102,404966;4,49555764834418;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSMMAT0;   10,00;   50,00;BSBG01;Girl;Girl;93,014806;7,18681719398129;93,014806;7,18681719398129;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSMMAT0;   10,00;   50,00;BSBG01;Girl;Boy;93,014806;7,18681719398129;105,36815;3,8789698237406;12,353344;8,71675918734912;1,41719459428554;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSMMAT0;   10,00;   50,00;BSBG01;Boy;Girl;105,36815;3,8789698237406;93,014806;7,18681719398129;-12,353344;8,71675918734912;-1,41719459428554;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSMMAT0;   10,00;   50,00;BSBG01;Boy;Boy;105,36815;3,8789698237406;105,36815;3,8789698237406;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Bahrain;BSMMAT0;   10,00;   90,00;BSBG01;Girl;Girl;186,409028;7,48430983525294;186,409028;7,48430983525294;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
