IDCNTRY;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Australia;10;BSMMAT0;BSBG01;Girl;Girl;398,137218;6,65676303580608;398,137218;6,65676303580608;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;10;BSMMAT0;BSBG01;Girl;Boy;398,137218;6,65676303580608;397,788376;6,00624366719132;-,348842000000013;6,74269386896027;-,0517362951335955;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;10;BSMMAT0;BSBG01;Boy;Girl;397,788376;6,00624366719132;398,137218;6,65676303580608;,348842000000013;6,74269386896027;,0517362951335955;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;10;BSMMAT0;BSBG01;Boy;Boy;397,788376;6,00624366719132;397,788376;6,00624366719132;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;50;BSMMAT0;BSBG01;Girl;Girl;506,253796;4,57420547992829;506,253796;4,57420547992829;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;50;BSMMAT0;BSBG01;Girl;Boy;506,253796;4,57420547992829;509,324522;4,26525375571299;3,070726;5,50814724764015;,557488001308533;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;50;BSMMAT0;BSBG01;Boy;Girl;509,324522;4,26525375571299;506,253796;4,57420547992829;-3,070726;5,50814724764015;-,557488001308533;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;50;BSMMAT0;BSBG01;Boy;Boy;509,324522;4,26525375571299;509,324522;4,26525375571299;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;90;BSMMAT0;BSBG01;Girl;Girl;608,437388;5,34010781775931;608,437388;5,34010781775931;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Australia;90;BSMMAT0;BSBG01;Girl;Boy;608,437388;5,34010781775931;611,729488;4,1831882734816;3,2921;5,63476172857207;,584248306952683;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
