BSBG01;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Girl;10;BSMMAT0;IDCNTRY;Australia;Australia;398,137218;6,65676303580608;398,137218;6,65676303580608;0;9,41408456674085;0;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Bahrain;398,137218;6,65676303580608;368,672566;7,10700461182033;-29,464652;9,73765930125457;-3,02584544072145;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Botswana;398,137218;6,65676303580608;296,508176;4,88587875231839;-101,629042;8,25737883939149;-12,3076637243749;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Canada;398,137218;6,65676303580608;435,566202;3,83680496733075;37,428984;7,68333042841501;4,87145312162778;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Chile;398,137218;6,65676303580608;316,723026;6,33097177140017;-81,414192;9,18660425212384;-8,86227269245629;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Chinese Taipei;398,137218;6,65676303580608;465,305694;5,27356159616876;67,168476;8,49252294806791;7,90913093914938;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Georgia;398,137218;6,65676303580608;338,417844;8,58510127787062;-59,719374;10,8635380086862;-5,49723063998579;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Hong Kong, SAR;398,137218;6,65676303580608;497,14825;10,8100683255181;99,011032;12,6952775202925;7,79904431720675;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Hungary;398,137218;6,65676303580608;384,780506;8,55387421330861;-13,356712;10,8388771638016;-1,23229664827342;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Iran, Islamic Republic of;398,137218;6,65676303580608;322,496774;6,70567555402258;-75,640444;9,44873424066368;-8,00535204752325;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Ireland;398,137218;6,65676303580608;426,931638;5,99269495726872;28,79442;8,95683465102198;3,21479865620993;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Israel;398,137218;6,65676303580608;376,883946;7,06052118132622;-21,253272;9,70378552250772;-2,19020421985868;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Italy;398,137218;6,65676303580608;393,991462;6,05738667108301;-4,14575600000002;9,00024596318835;-,460626966969176;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Japan;398,137218;6,65676303580608;472,43579;5,57115816690749;74,298572;8,68045490948338;8,55929473452237;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Kazakhstan;398,137218;6,65676303580608;410,105288;8,05588957901385;11,96807;10,4503517177241;1,14523131118179;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Jordan;398,137218;6,65676303580608;278,210844;6,47393298319698;-119,926374;9,28570419439473;-12,9151620048798;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Korea, Republic of;398,137218;6,65676303580608;497,20833;4,72236012503072;99,071112;8,16168973101491;12,1385540574428;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Kuwait;398,137218;6,65676303580608;292,768408;7,94765237000109;-105,36881;10,367143883889;-10,1637260155854;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Lebanon;398,137218;6,65676303580608;344,479238;5,1068974117554;-53,65798;8,39004739492383;-6,39543228712443;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Lithuania;398,137218;6,65676303580608;409,852398;7,12863226407519;11,71518;9,75345539136197;1,20113124322847;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Malaysia;398,137218;6,65676303580608;357,439348;7,05849754945726;-40,69787;9,7023132175048;-4,19465637602519;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Malta;398,137218;6,65676303580608;375,57671;3,72211239299941;-22,560508;7,62670405752012;-2,95809406394297;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Morocco;398,137218;6,65676303580608;285,641224;3,52920411715531;-112,495994;7,53443931659285;-14,9309045136582;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Oman;398,137218;6,65676303580608;305,316528;5,6307975623471;-92,82069;8,71885171929241;-10,6459764414405;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;New Zealand;398,137218;6,65676303580608;383,64756;5,1400642686274;-14,489658;8,4102767374501;-1,7228515127783;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Norway;398,137218;6,65676303580608;420,14939;4,83519205298507;22,012172;8,22748906435761;2,67544226772165;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Qatar;398,137218;6,65676303580608;315,348552;5,25743711809603;-82,788666;8,48251962365004;-9,75991446800519;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Russian Federation;398,137218;6,65676303580608;422,93186;7,08016264477167;24,794642;9,71808608684314;2,5513914754849;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Saudi Arabia;398,137218;6,65676303580608;275,292834;7,04656778304772;-122,844384;9,69363768850271;-12,6726816028725;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Singapore;398,137218;6,65676303580608;519,549752;10,1243725071262;121,412534;12,1167410130747;10,020230181448;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Girl;10;BSMMAT0;IDCNTRY;Australia;Slovenia;398,137218;6,65676303580608;424,388486;5,82436626481081;26,251268;8,84509674913397;2,96788930008824;TOTWGT;JRR;FULL;N;26-FEB-26; 7h41m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
