"";"IDCNTRY";"Variable";"BSDAGE";"BSMMAT0_";"BSDAGE.se";"BSMMAT0_.se";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Australia";"BSDAGE";1;-0,0247465037662154;0;0,0204570550209136;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"2";"Australia";"BSMMAT0_";-0,0247465037662154;1;0,0204570550209136;0;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"3";"Austria";"BSDAGE";1;-0,271294989420477;0;0,0228237606398963;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"4";"Austria";"BSMMAT0_";-0,271294989420477;1;0,0228237606398963;0;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"5";"Azerbaijan, Republic of";"BSDAGE";1;-0,0744137161030506;0;0,0306357795439514;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"6";"Azerbaijan, Republic of";"BSMMAT0_";-0,0744137161030506;1;0,0306357795439514;0;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"7";"Bahrain";"BSDAGE";1;-0,00860733969447917;0;0,0148481115504254;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"8";"Bahrain";"BSMMAT0_";-0,00860733969447917;1;0,0148481115504254;0;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"9";"Brazil";"BSDAGE";1;-0,252590409619744;0;0,0130663070182446;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"10";"Brazil";"BSMMAT0_";-0,252590409619744;1;0,0130663070182446;0;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"11";"Chile";"BSDAGE";1;-0,0817576435211532;0;0,022832827367643;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"12";"Chile";"BSMMAT0_";-0,0817576435211532;1;0,022832827367643;0;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"13";"Chinese Taipei";"BSDAGE";1;0,0302868259023464;0;0,0179675663064462;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"14";"Chinese Taipei";"BSMMAT0_";0,0302868259023464;1;0,0179675663064462;0;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"15";"Cyprus";"BSDAGE";1;-0,0800353721797424;0;0,0230096468910175;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"16";"Cyprus";"BSMMAT0_";-0,0800353721797424;1;0,0230096468910175;0;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"17";"Czech Republic";"BSDAGE";1;-0,16008553472572;0;0,0157309710692471;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"18";"Czech Republic";"BSMMAT0_";-0,16008553472572;1;0,0157309710692471;0;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"19";"England";"BSDAGE";1;0,0503583705463064;0;0,0213402126846483;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
"20";"England";"BSMMAT0_";0,0503583705463064;1;0,0213402126846483;0;"BSDAGE BSMMAT0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"04-MAR-26";" 3h 4m";250;5;"NONE"
