IDCNTRY;Variable;TOTWGT;mean;stdev;TOTWGT.se;mean.se;stdev.se;NObs;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Australia;BSDAGE;306768,144489997;14,0721026958011;,388028821608679;6198,91632336331;,00816073379376249;,00641966631663015;8418;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Australia;BSMMAT0_;306768,144489997;508,861182576636;92,8754691267505;6198,91632336331;3,48856759310642;2,33586025500286;8418;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Austria;BSDAGE;79364,1753230002;14,4197323834555;,558631824626955;1368,65043743885;,0124688164999502;,0113736987148866;4639;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Austria;BSMMAT0_;79364,1753230002;512,135400797158;73,8607577085625;1368,65043743885;2,31503516829679;1,61409390358881;4639;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Azerbaijan, Republic of;BSDAGE;146742,84097;14,2262341256317;,474614761471223;2564,30769330095;,0119542627702653;,0123117681613481;6174;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Azerbaijan, Republic of;BSMMAT0_;146742,84097;478,659018310309;102,228663142638;2564,30769330095;3,73457458188778;2,76025811330596;6174;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Bahrain;BSDAGE;18323,999949;13,9059904073104;,515667015015383;128,980984177071;,00703428010800844;,0157639443924828;5168;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Bahrain;BSMMAT0_;18323,999949;426,449984044289;99,4323961283423;128,980984177071;2,43607965542641;1,69299759633789;5168;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Brazil;BSDAGE;2545818,42588606;14,0641672532106;,754583827846583;37910,5810900535;,0145959133389748;,0126337345631439;22728;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Brazil;BSMMAT0_;2545818,42588606;378,191781896347;88,8276867346708;37910,5810900535;2,76265493457462;2,70059211474145;22728;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Chile;BSDAGE;246486,489003;14,1873709562616;,537373681775925;5126,67617654897;,0122907160432217;,0148334749001671;4478;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Chile;BSMMAT0_;246486,489003;415,968669809802;83,7089144630729;5126,67617654897;3,20823412655227;2,07137332456807;4478;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Chinese Taipei;BSDAGE;183229,273772;14,2351475090372;,299670854196141;1683,08599575343;,00596460080630788;,00274374932303696;5543;BSDAGE BSMMAT0_;TOTWGT;JRR;FULL;N;LISTWISE;26-FEB-26;14h25m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
