"";"IDCNTRY";"Variable";"BSDGHER";"BSDGSLM";"BSDGHER.se";"BSDGSLM.se";"xvar";"corrtype";"weight";"method";"jk2type";"missoptn";"date";"time";"reps";"selcrit"
"1";"Australia";"BSDGHER";1;0,10463400330263;0;0,0161171915091266;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"2";"Australia";"BSDGSLM";0,10463400330263;1;0,0161171915091266;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"3";"Austria";"BSDGHER";1;0,0279631767719004;0;0,0203138062447805;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"4";"Austria";"BSDGSLM";0,0279631767719004;1;0,0203138062447805;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"5";"Azerbaijan, Republic of";"BSDGHER";1;0,0536030664249863;0;0,0191986688068122;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"6";"Azerbaijan, Republic of";"BSDGSLM";0,0536030664249863;1;0,0191986688068122;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"7";"Bahrain";"BSDGHER";1;0,102582727643642;0;0,0167037403013823;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"8";"Bahrain";"BSDGSLM";0,102582727643642;1;0,0167037403013823;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"9";"Brazil";"BSDGHER";1;0,03506794550873;0;0,0166612330889452;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
"10";"Brazil";"BSDGSLM";0,03506794550873;1;0,0166612330889452;0;"BSDGHER BSDGSLM";"PEARSON";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";" 9h25m";250;"NONE"
