"";"IDCNTRY";"StratVar";"NVarStrat"
"1";"Azerbaijan, Republic of";"JKZONE";99
"2";"Australia";"JKZONE";125
"3";"Austria";"JKZONE";79
"4";"Bahrain";"JKZONE";103
"5";"Brazil";"JKZONE";125
"6";"Chile";"JKZONE";85
"7";"Chinese Taipei";"JKZONE";93
"8";"Cyprus";"JKZONE";121
"9";"Czech Republic";"JKZONE";105
"10";"Finland";"JKZONE";82
"11";"France";"JKZONE";75
"12";"Georgia";"JKZONE";80
"13";"Palestinian National Authority";"JKZONE";99
"14";"Hong Kong, SAR";"JKZONE";69
"15";"Hungary";"JKZONE";80
"16";"Iran, Islamic Republic of";"JKZONE";112
"17";"Ireland";"JKZONE";78
"18";"Israel";"JKZONE";98
"19";"Italy";"JKZONE";76
"20";"Ivory Coast";"JKZONE";77
"21";"Japan";"JKZONE";68
"22";"Kazakhstan";"JKZONE";94
"23";"Jordan";"JKZONE";114
"24";"Korea, Republic of";"JKZONE";88
"25";"Kuwait";"JKZONE";77
"26";"Lithuania";"JKZONE";105
"27";"Malaysia";"JKZONE";90
"28";"Malta";"JKZONE";125
"29";"Morocco";"JKZONE";125
"30";"Oman";"JKZONE";124
"31";"New Zealand";"JKZONE";50
"32";"Norway";"JKZONE";79
"33";"Portugal";"JKZONE";82
"34";"Qatar";"JKZONE";108
"35";"Romania";"JKZONE";67
"36";"Saudi Arabia";"JKZONE";104
"37";"Singapore";"JKZONE";73
"38";"South Africa";"JKZONE";125
"39";"Sweden";"JKZONE";78
"40";"United Arab Emirates";"JKZONE";125
"41";"Turkey";"JKZONE";71
"42";"United States";"JKZONE";106
"43";"Uzbekistan";"JKZONE";83
"44";"England";"JKZONE";71
"45";"United Arab Emirates (Dubai)";"JKZONE";124
"46";"United Arab Emirates (Abu Dhabi)";"JKZONE";125
"47";"United Arab Emirates (Sharjah)";"JKZONE";87
