"";"IDCNTRY";"Variable";"Mean";"stdev";"TOTWGT";"NObs";"TOTWGT.se";"mean.se";"stdev.se";"xvar";"weight";"method";"jk2type";"missoptn";"date";"time";"reps";"selcrit"
"1";"Australia";"RBSDGHER";4133,29923344321;2029,20144079568;277499,060456997;7706;6641,74916430858;52,7804316733076;13,0984904384541;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"2";"Australia";"RBSDGSLM";4009,92374432055;1942,0149616803;277499,060456997;7706;6641,74916430858;42,1499442504823;15,8054990933088;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"3";"Austria";"RBSDGHER";2371,55415649083;1201,1425019794;77270,6919330007;4521;1318,64996197237;30,0739673121543;9,99694675985304;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"4";"Austria";"RBSDGSLM";2254,67032616069;1127,07650361364;77270,6919330007;4521;1318,64996197237;20,9925113568239;8,58382962167113;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"5";"Azerbaijan, Republic of";"RBSDGHER";2871,21643885279;1407,8976412353;127329,549583;5440;2927,56320280224;37,1449069410734;13,1715358494514;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"6";"Azerbaijan, Republic of";"RBSDGSLM";2648,79317076857;1474,95548067657;127329,549583;5440;2927,56320280224;37,1521136831306;8,89319587763555;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"7";"Bahrain";"RBSDGHER";2395,33563434604;1258,73168913534;16717,5513730001;4725;153,354086303513;23,778128005378;9,71946477700951;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"8";"Bahrain";"RBSDGSLM";2366,99460909864;1280,59249599396;16717,5513730001;4725;153,354086303513;26,9219175313431;8,04453986466759;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"9";"Brazil";"RBSDGHER";9692,17424507434;5235,82055513183;2347234,07306811;20486;36223,0800778099;126,771408880421;50,1651864314831;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"10";"Brazil";"RBSDGSLM";10284,4571680155;5422,73469937901;2347234,07306811;20486;36223,0800778099;116,898002030309;24,0045247457512;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"11";"Chile";"RBSDGHER";2239,37328469309;1111,55888985721;235095,657825002;4278;4971,9649008008;26,5264358340091;10,8179754627654;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"12";"Chile";"RBSDGSLM";2129,21534622973;1129,17146784282;235095,657825002;4278;4971,9649008008;29,994601819437;9,58550997645897;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"13";"Chinese Taipei";"RBSDGHER";2636,39520085901;1451,84651484698;179477,363585005;5427;1732,00543636827;33,2806776774327;10,1697128421081;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"14";"Chinese Taipei";"RBSDGSLM";2730,45982934838;1361,86687568478;179477,363585005;5427;1732,00543636827;27,4504429177363;10,085458584014;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"15";"Cyprus";"RBSDGHER";1961,29478134502;1042,28228498496;9027,183314;3944;98,5680594442007;22,6682646183965;6,69882092864812;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"16";"Cyprus";"RBSDGSLM";1967,44250676846;1020,30047574475;9027,183314;3944;98,5680594442007;19,4886775624872;6,63801416427878;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"17";"Czech Republic";"RBSDGHER";4000,48956004001;2055,01734162437;110264,441295;7933;1857,95335306914;48,5305377694123;15,7499934863004;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"18";"Czech Republic";"RBSDGSLM";3987,60054908644;1900,7764666196;110264,441295;7933;1857,95335306914;42,1820756809048;18,6287231812533;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"19";"England";"RBSDGHER";1999,65097747662;1053,30194983152;536072,230072997;3942;17360,1267399721;36,8275205130483;9,45266258874437;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"20";"England";"RBSDGSLM";1956,85339222032;998,438950899866;536072,230072997;3942;17360,1267399721;31,7160816741862;10,9405674354278;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"21";"Finland";"RBSDGHER";2780,89242036797;1457,80035570371;54688,2721269999;5558;882,912895915706;36,510614332141;8,38567449410831;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"22";"Finland";"RBSDGSLM";2772,62561308542;1302,00255120224;54688,2721269999;5558;882,912895915706;26,1186851454715;12,5416367805966;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"23";"France";"RBSDGHER";2222,62224568788;1139,04441076781;775909,530102992;4279;15175,8503622172;33,171738580947;9,96714416644195;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"24";"France";"RBSDGSLM";2139,42207420197;1090,45861118113;775909,530102992;4279;15175,8503622172;27,859367599316;8,61056702366322;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"25";"Georgia";"RBSDGHER";2353,58735173674;1196,1953333956;38608,7449490002;4493;633,379731243267;29,6423912246768;9,71027614760547;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"26";"Georgia";"RBSDGSLM";2206,83677379196;1210,02898517939;38608,7449490002;4493;633,379731243267;36,3803184493102;9,77970556480347;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"27";"Hong Kong, SAR";"RBSDGHER";2132,93473217452;1157,99819898302;52543,0637399991;4235;875,930570931243;28,2684245071812;8,42029966885004;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"28";"Hong Kong, SAR";"RBSDGSLM";2126,40615410423;1120,26054781126;52543,0637399991;4235;875,930570931243;29,4291472558987;9,84180749103883;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
"29";"Hungary";"RBSDGHER";2776,11968923328;1425,70956615611;84358,5454400005;5316;1249,5735349612;47,7356621387386;15,604430793284;" RBSDGHER RBSDGSLM";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"12h56m";250;"NONE"
