IDCNTRY;StratVar;NVarStrat
Azerbaijan, Republic of;JKZONE;99
Australia;JKZONE;125
Austria;JKZONE;79
Bahrain;JKZONE;103
Brazil;JKZONE;125
Chile;JKZONE;85
Chinese Taipei;JKZONE;93
Cyprus;JKZONE;121
Czech Republic;JKZONE;105
Finland;JKZONE;82
France;JKZONE;75
Georgia;JKZONE;80
Palestinian National Authority;JKZONE;99
Hong Kong, SAR;JKZONE;69
Hungary;JKZONE;80
Iran, Islamic Republic of;JKZONE;112
Ireland;JKZONE;78
Israel;JKZONE;98
Italy;JKZONE;76
Ivory Coast;JKZONE;77
Japan;JKZONE;68
Kazakhstan;JKZONE;94
Jordan;JKZONE;114
Korea, Republic of;JKZONE;88
Kuwait;JKZONE;77
Lithuania;JKZONE;105
Malaysia;JKZONE;90
Malta;JKZONE;125
Morocco;JKZONE;125
Oman;JKZONE;124
New Zealand;JKZONE;50
Norway;JKZONE;79
Portugal;JKZONE;82
Qatar;JKZONE;108
Romania;JKZONE;67
Saudi Arabia;JKZONE;104
Singapore;JKZONE;73
South Africa;JKZONE;125
Sweden;JKZONE;78
United Arab Emirates;JKZONE;125
Turkey;JKZONE;71
United States;JKZONE;106
Uzbekistan;JKZONE;83
England;JKZONE;71
United Arab Emirates (Dubai);JKZONE;124
United Arab Emirates (Abu Dhabi);JKZONE;125
United Arab Emirates (Sharjah);JKZONE;87
