BSBG01;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnx;mnx_se;cmnx;cmnx_se;mnxdiff;mnxdiff_se;mnxdiff_t;weight;method;jk2type;date;time;reps;infile;selcrit
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Azerbaijan, Republic of;50,4901096678385;,953820867369347;50,4901096678385;,953820867369347;0; ; ;1,90528688300086;,0251352197904003;1,90528688300086;,0251352197904003;0; ; ;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Australia;50,4901096678385;,953820867369347;46,3820303104497;1,69498250303778;-4,10807935738874;1,94492671652004;-2,11220264624629;1,90528688300086;,0251352197904003;2,59731734157898;,0179018947073052;,692030458578119;,03085866341926;22,425807922264;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Austria;50,4901096678385;,953820867369347;48,1001913916157;,992233537356605;-2,38991827622274;1,37633631053039;-1,73643480734861;1,90528688300086;,0251352197904003;2,5837101073428;,0152976632010373;,678423224341937;,0294244417674168;23,0564518336314;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Bahrain;50,4901096678385;,953820867369347;51,1564704203059;,839175737493715;,666360752467426;1,27042912648732;,524516274520472;1,90528688300086;,0251352197904003;2,17423699476686;,0250907943529634;,268950111766005;,0355151690855391;7,57282363257886;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Brazil;50,4901096678385;,953820867369347;50,1756135588471;,598628390988025;-,314496108991392;1,12611287068665;-,27927583209277;1,90528688300086;,0251352197904003;2,43831027143471;,0179298577843403;,533023388433848;,0308748939120186;17,263974734707;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Chile;50,4901096678385;,953820867369347;47,3072711610957;1,14117134606275;-3,18283850674282;1,4872949566592;-2,1400183551299;1,90528688300086;,0251352197904003;2,40687526574173;,023770034519572;,501588382740873;,0345947079041488;14,4989916992685;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Chinese Taipei;50,4901096678385;,953820867369347;48,0560259971622;,789866092092483;-2,43408367067625;1,23841135753297;-1,96548881425406;1,90528688300086;,0251352197904003;2,60933326741792;,015885180602087;,704046384417057;,0297341257929782;23,6780589857906;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Cyprus;50,4901096678385;,953820867369347;50,9854568058889;,755774683451583;,495347138050377;1,21695095183641;,40703952554775;1,90528688300086;,0251352197904003;2,40698674063877;,0173151253376408;,501699857637909;,0305220058215371;16,4373160981411;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Czech Republic;50,4901096678385;,953820867369347;48,6643849690138;,671327275812173;-1,82572469882467;1,16638525294116;-1,56528444973127;1,90528688300086;,0251352197904003;2,66647722135014;,0133621668987672;,761190338349284;,0284662392693914;26,740108910971;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Finland;50,4901096678385;,953820867369347;50,0208581575274;,87850169406536;-,469251510311068;1,29674186849385;-,361869637830155;1,90528688300086;,0251352197904003;2,69225258366058;,0153325963687696;,786965700659726;,0294426185200865;26,7287945235862;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;France;50,4901096678385;,953820867369347;50,5453779193768;,720702393055162;,0552682515383651;1,19548575331731;,0462307906095939;1,90528688300086;,0251352197904003;2,59991314879726;,020500895802723;,694626265796398;,0324355669385605;21,4155734386318;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Georgia;50,4901096678385;,953820867369347;51,0376143347441;,803033643140885;,547504666905624;1,24685094499917;,439109958653467;1,90528688300086;,0251352197904003;2,20311516753177;,0272678474850286;,297828284530912;,0370852366903396;8,03091232820671;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Palestinian National Authority;50,4901096678385;,953820867369347;51,3705435877745;2,7301897049448;,880433919935996;2,89200796541361;,304436893143231;1,90528688300086;,0251352197904003;2,00246869182826;,0298707231872018;,0971818088273988;,0390389469330074;2,48935528394675;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Hong Kong, SAR;50,4901096678385;,953820867369347;47,280871531534;1,61220984408011;-3,20923813630453;1,87323111985094;-1,71320991963869;1,90528688300086;,0251352197904003;2,39508790809684;,021467605435442;,489801025095982;,0330550655277455;14,8177296664215;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Hungary;50,4901096678385;,953820867369347;50,17596579716;1,0549242312711;-,314143870678521;1,42219526815137;-,220886595331497;1,90528688300086;,0251352197904003;2,58907657781069;,0164662822831997;,683789694809828;,0300485894201666;22,7561329168721;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Iran, Islamic Republic of;50,4901096678385;,953820867369347;48,5942332432649;1,38723195184052;-1,8958764245736;1,68350430211403;-1,12614884452204;1,90528688300086;,0251352197904003;2,0847278720509;,0288477697773245;,179440989050046;,0382619013515696;4,68980847034369;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Ireland;50,4901096678385;,953820867369347;45,9812812798848;1,52448821621127;-4,50882838795371;1,7982876767626;-2,50728982143214;1,90528688300086;,0251352197904003;2,54144203184959;,024517534586697;,636155148848727;,0351125159469044;18,1176179403006;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Israel;50,4901096678385;,953820867369347;50,400222064533;,979856936589354;-,0898876033054421;1,36744062511375;-,0657341910534249;1,90528688300086;,0251352197904003;2,42486715660469;,0212238831984783;,519580273603832;,0328973021984232;15,7940085928607;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Italy;50,4901096678385;,953820867369347;49,2715155129799;,728129758543933;-1,21859415485862;1,19997799659263;-1,01551374968446;1,90528688300086;,0251352197904003;2,54839887932906;,0197729832148746;,643111996328202;,0319804649610891;20,1095261469989;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Ivory Coast;50,4901096678385;,953820867369347;49,4501403825275;1,38881766114248;-1,03996928531094;1,68481118910413;-,617261620789642;1,90528688300086;,0251352197904003;1,66187478466108;,0278452792348649;-,243412098339777;,0375118494555964;-6,48893887857781;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Japan;50,4901096678385;,953820867369347;48,300900357147;1,33975080520337;-2,18920931069153;1,64459918128166;-1,33115067525782;1,90528688300086;,0251352197904003;2,60814850296472;,0156894652793351;,702861619963861;,0296300285970701;23,7212602634262;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Kazakhstan;50,4901096678385;,953820867369347;47,7808366784974;,804727259349537;-2,70927298934113;1,24794239008435;-2,17099203526376;1,90528688300086;,0251352197904003;2,23001500970188;,0209077867427955;,324728126701021;,0326942628054824;9,93226636223675;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Jordan;50,4901096678385;,953820867369347;49,9069174177807;2,15275560735037;-,583192250057778;2,35459783232884;-,247682318419942;1,90528688300086;,0251352197904003;1,99280109951684;,0274098067238115;,087514216515981;,0371897402323333;2,3531817100431;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Korea, Republic of;50,4901096678385;,953820867369347;49,4496340873294;1,00016112009034;-1,04047558050904;1,38206241290673;-,752842686981643;1,90528688300086;,0251352197904003;2,58971296965592;,0154593333333243;,684426086655062;,0295088166659147;23,193952316144;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Kuwait;50,4901096678385;,953820867369347;50,8244500345207;1,4364861446391;,334340366682184;1,7243162966142;,193897353599616;1,90528688300086;,0251352197904003;2,39562840785157;,0259379468478487;,490341524850715;,0361186428398626;13,5758568511203;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Lithuania;50,4901096678385;,953820867369347;51,0046457536126;,837383246617188;,514536085774125;1,26924581888;,405387260781493;1,90528688300086;,0251352197904003;2,53610546430236;,0169205113882286;,630818581301503;,0302998841507836;20,8191746926264;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Malaysia;50,4901096678385;,953820867369347;51,8573163040831;1,1356750382415;1,36720663624463;1,48308193958191;,921868576344509;1,90528688300086;,0251352197904003;2,10387217311672;,0171210336627284;,19858529011586;,030412317695171;6,52976508092287;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Malta;50,4901096678385;,953820867369347;49,1278228987369;,696623012224636;-1,36228676910162;1,18112567840604;-1,15338002890603;1,90528688300086;,0251352197904003;2,470964952848;,0150564753837773;,565678069847138;,0292997734614796;19,3065680385152;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Morocco;50,4901096678385;,953820867369347;51,1310132708383;,680996662371512;,640903602999863;1,1719772613794;,546856687514167;1,90528688300086;,0251352197904003;1,84960830205188;,0214662970955866;-,0556785809489795;,0330542158416702;-1,68446231535729;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Oman;50,4901096678385;,953820867369347;50,3818264473301;,833739119550611;-,108283220508376;1,26684457077348;-,0854747480523701;1,90528688300086;,0251352197904003;2,02338851575504;,0294313561711338;,11810163275418;,0387037982630112;3,05142229069152;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;New Zealand;50,4901096678385;,953820867369347;44,3578766778289;1,71918274306566;-6,13223299000958;1,96605278440941;-3,11905816498802;1,90528688300086;,0251352197904003;2,55027420011487;,0181053253962104;,644987317114012;,0309771219065683;20,8214087499604;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Norway;50,4901096678385;,953820867369347;48,1965862129458;,80802247863121;-2,29352345489266;1,25006982725068;-1,83471627335961;1,90528688300086;,0251352197904003;2,63638893687982;,0140649621519257;,731102053878965;,0288028199009547;25,383002650193;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Girl;BSDGSLM;IDCNTRY;Azerbaijan, Republic of;Portugal;50,4901096678385;,953820867369347;49,2683940396391;,985122245805814;-1,22171562819933;1,37121846771793;-,890970809511188;1,90528688300086;,0251352197904003;2,51455486504733;,0196317077096625;,60926798204647;,0318933099804544;19,1033161004567;TOTWGT;JRR;FULL;26-FEB-26;17h18m;250;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
