"";"IDCNTRY";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnpv";"mnpv_se";"cmnpv";"cmnpv_se";"mnpvdiff";"mnpvdiff_se";"mnpvdiff_t";"mnpvdiff_ci";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Azerbaijan, Republic of";"BSMMAT0";"BSBG01";"Girl";"Girl";48,173025775456;0,831822972665367;48,173025775456;0,831822972665367;0;NA;NA;479,230741333356;3,96343210876254;479,230741333356;3,96343210876254;0;NA;NA;" ";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"2";"Azerbaijan, Republic of";"BSMMAT0";"BSBG01";"Girl";"Boy";48,173025775456;0,831822972665367;51,826974224544;0,831822972665368;3,65394844908808;1,66364594533073;2,19634980588473;479,230741333356;3,96343210876254;477,633691796743;4,48737248069863;-1,59704953661289;3,87849430423551;-0,411770499409742;"-9 to 6";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"3";"Azerbaijan, Republic of";"BSMMAT0";"BSBG01";"Boy";"Girl";51,826974224544;0,831822972665368;48,173025775456;0,831822972665367;-3,65394844908808;1,66364594533073;-2,19634980588473;477,633691796743;4,48737248069863;479,230741333356;3,96343210876254;1,59704953661289;3,87849430423551;0,411770499409742;"-6 to 9";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"4";"Azerbaijan, Republic of";"BSMMAT0";"BSBG01";"Boy";"Boy";51,826974224544;0,831822972665368;51,826974224544;0,831822972665368;0;NA;NA;477,633691796743;4,48737248069863;477,633691796743;4,48737248069863;0;NA;NA;" ";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"5";"Australia";"BSMMAT0";"BSBG01";"Girl";"Girl";46,0780289547813;1,63565385876896;46,0780289547813;1,63565385876896;0;NA;NA;502,576565859101;4,44651128104327;502,576565859101;4,44651128104327;0;NA;NA;" ";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"6";"Australia";"BSMMAT0";"BSBG01";"Girl";"Boy";46,0780289547813;1,63565385876896;51,668574496839;1,65691747303072;5,59054554205775;3,28636137006126;1,70113536295418;502,576565859101;4,44651128104327;518,048017093291;4,24196183345315;15,4714512341908;5,0144894306394;3,08534925602946;"6 to 25";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"7";"Australia";"BSMMAT0";"BSBG01";"Girl";"<Other>";46,0780289547813;1,63565385876896;2,25339654837969;0,203241387639566;-43,8246324064016;1,63950166278549;-26,730459261593;502,576565859101;4,44651128104327;477,078375894415;10,9693994155353;-25,4981899646851;9,96278393730304;-2,55934386664894;"-45 to -6";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"8";"Australia";"BSMMAT0";"BSBG01";"Boy";"Girl";51,668574496839;1,65691747303072;46,0780289547813;1,63565385876896;-5,59054554205775;3,28636137006126;-1,70113536295418;518,048017093291;4,24196183345315;502,576565859101;4,44651128104327;-15,4714512341908;5,0144894306394;-3,08534925602946;"-25 to -6";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"9";"Australia";"BSMMAT0";"BSBG01";"Boy";"Boy";51,668574496839;1,65691747303072;51,668574496839;1,65691747303072;0;NA;NA;518,048017093291;4,24196183345315;518,048017093291;4,24196183345315;0;NA;NA;" ";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"10";"Australia";"BSMMAT0";"BSBG01";"Boy";"<Other>";51,668574496839;1,65691747303072;2,25339654837969;0,203241387639566;-49,4151779484593;1,70235178575479;-29,0275948613933;518,048017093291;4,24196183345315;477,078375894415;10,9693994155353;-40,9696411988759;11,2877752529606;-3,62955855168451;"-63 to -19";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"11";"Australia";"BSMMAT0";"BSBG01";"<Other>";"Girl";2,25339654837969;0,203241387639566;46,0780289547813;1,63565385876896;43,8246324064016;1,63950166278549;26,730459261593;477,078375894415;10,9693994155353;502,576565859101;4,44651128104327;25,4981899646851;9,96278393730304;2,55934386664894;"6 to 45";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"12";"Australia";"BSMMAT0";"BSBG01";"<Other>";"Boy";2,25339654837969;0,203241387639566;51,668574496839;1,65691747303072;49,4151779484593;1,70235178575479;29,0275948613933;477,078375894415;10,9693994155353;518,048017093291;4,24196183345315;40,9696411988759;11,2877752529606;3,62955855168451;"19 to 63";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"13";"Australia";"BSMMAT0";"BSBG01";"<Other>";"<Other>";2,25339654837969;0,203241387639566;2,25339654837969;0,203241387639566;0;NA;NA;477,078375894415;10,9693994155353;477,078375894415;10,9693994155353;0;NA;NA;" ";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"14";"Austria";"BSMMAT0";"BSBG01";"Girl";"Girl";47,8333494401682;0,990796153505148;47,8333494401682;0,990796153505148;0;NA;NA;508,790352461001;2,47289667923153;508,790352461001;2,47289667923153;0;NA;NA;" ";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"15";"Austria";"BSMMAT0";"BSBG01";"Girl";"Boy";47,8333494401682;0,990796153505148;50,1984826452096;0,990161010649341;2,36513320504143;1,96763330938875;1,20201929584947;508,790352461001;2,47289667923153;515,367280603892;2,85469821466431;6,57692814289127;2,57440835289383;2,55473384224313;"2 to 12";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
"16";"Austria";"BSMMAT0";"BSBG01";"Girl";"<Other>";47,8333494401682;0,990796153505148;1,96816791462225;0,229370550431671;-45,8651815255459;1,0431475961731;-43,9680652036272;508,790352461001;2,47289667923153;517,452970065257;6,81653352473533;8,66261760425574;7,25988520110783;1,19321688488047;"-6 to 23";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 9m";250;5;"NONE"
