"";"IDCNTRY";"EqVar";"b";"beta";"b.se";"beta.se";"b.t";"beta.t";"xvar";"dvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Australia";"(CONSTANT)";198,641259798719;NA;52,0652556001244;NA;3,81523642799988;NA;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"2";"Australia";"BSDAGE";-4,44610906581893;-0,0182851139540248;3,37040612921266;0,0138329374207426;-1,3191612213385;-1,32185329824496;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"3";"Australia";"BSDGSLM_D2";-26,1541475661913;-0,128865719358453;4,03314583092324;0,0192104820795064;-6,48480086330137;-6,70809398874619;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"4";"Australia";"BSDGSLM_D3";-48,1605157098383;-0,252517588015053;4,78360170423575;0,0238772948361392;-10,0678356367324;-10,575636383769;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"5";"Australia";"BSBG01_D2";-7,64867537583826;-0,0406248667165125;3,0024437183634;0,01590163540151;-2,5474833480001;-2,55476029293533;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"6";"Australia";"BSSSCI0_";0,774547831653975;0,765231300975391;0,0217023682963935;0,0123320452145824;35,689553373891;62,0522620262957;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"7";"Austria";"(CONSTANT)";309,6106287363;NA;27,9214358306191;NA;11,0886356494882;NA;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"8";"Austria";"BSDAGE";-7,76778225891116;-0,0561876809641864;1,86169339690217;0,0128567029504221;-4,17242832350194;-4,37030249363753;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"9";"Austria";"BSDGSLM_D2";-12,7027772517811;-0,0741661301119559;3,67170524266647;0,0210226906812982;-3,45963970750444;-3,52790854588058;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
"10";"Austria";"BSDGSLM_D3";-30,5798338806538;-0,192739815605747;4,94446541741522;0,0298525853424824;-6,18465927033215;-6,45638605147756;" BSDGSLM_d2 BSDGSLM_d3 BSBG01_d2 BSDAGE BSSSCI0_";"BSMALG0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"19h19m";250;5;"NONE"
