"";"IDCNTRY";"StratVar";"NVarStrat"
"1";"Azerbaijan, Republic of";"JKZONE";99
"2";"Australia";"JKZONE";125
"3";"Austria";"JKZONE";79
"4";"Bahrain";"JKZONE";103
"5";"Chile";"JKZONE";85
"6";"Chinese Taipei";"JKZONE";93
"7";"Cyprus";"JKZONE";121
"8";"Czech Republic";"JKZONE";105
"9";"Finland";"JKZONE";82
"10";"France";"JKZONE";75
"11";"Georgia";"JKZONE";80
"12";"Hong Kong, SAR";"JKZONE";69
"13";"Hungary";"JKZONE";80
"14";"Iran, Islamic Republic of";"JKZONE";112
"15";"Ireland";"JKZONE";78
"16";"Israel";"JKZONE";98
"17";"Italy";"JKZONE";76
"18";"Japan";"JKZONE";68
"19";"Kazakhstan";"JKZONE";94
"20";"Jordan";"JKZONE";114
"21";"Korea, Republic of";"JKZONE";88
"22";"Kuwait";"JKZONE";77
"23";"Lithuania";"JKZONE";105
"24";"Malaysia";"JKZONE";90
"25";"Malta";"JKZONE";125
"26";"Morocco";"JKZONE";125
"27";"Oman";"JKZONE";124
"28";"New Zealand";"JKZONE";50
"29";"Norway";"JKZONE";79
"30";"Portugal";"JKZONE";82
"31";"Qatar";"JKZONE";108
"32";"Romania";"JKZONE";67
"33";"Saudi Arabia";"JKZONE";104
"34";"Singapore";"JKZONE";73
"35";"South Africa";"JKZONE";125
"36";"Sweden";"JKZONE";78
"37";"United Arab Emirates";"JKZONE";125
"38";"Turkey";"JKZONE";71
"39";"United States";"JKZONE";106
"40";"Uzbekistan";"JKZONE";83
"41";"England";"JKZONE";71
"42";"United Arab Emirates (Dubai)";"JKZONE";124
"43";"United Arab Emirates (Abu Dhabi)";"JKZONE";125
"44";"United Arab Emirates (Sharjah)";"JKZONE";87
