"";"IDCNTRY";"BSBG01";"dvar";"n";"TOTWGT";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"1";"Azerbaijan, Republic of";"Girl";"BSMMAT0";2892;69154,422262;345,700792;8,18791297536278;482,08194;6,35321394136224;604,13112;6,22842053401988;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"2";"Azerbaijan, Republic of";"Boy";"BSMMAT0";3122;74399,8202809999;339,134648;8,17381674560568;482,246016;6,2736222663208;608,91042;5,99516228588103;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"3";"Australia";"Girl";"BSMMAT0";3779;133979,701064001;385,42484;8,46082166274706;503,304188;5,32177344181842;618,558588;6,54394323277064;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"4";"Australia";"Boy";"BSMMAT0";4053;150235,162451999;390,878984;6,17935504281847;519,250532;4,74120766271572;639,461546;5,39884997243081;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"5";"Australia";"<Other>";"BSMMAT0";185;6552,133474;339,75352;25,3477252244399;477,723364;23,304828263589;604,703518;24,8301039086322;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"6";"Austria";"Girl";"BSMMAT0";2257;37824,578538;412,141486;6,53024849495686;513,726494;2,41890669112436;598,88941;3,94750946800642;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"7";"Austria";"Boy";"BSMMAT0";2259;39694,825295;415,656524;5,71575183008203;518,305044;4,38353155818753;607,857742;3,98754555426696;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"8";"Austria";"<Other>";"BSMMAT0";102;1556,343487;435,354918;15,9079279166576;520,108092;16,4422528842195;604,85492;17,427894276409;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"9";"Bahrain";"Girl";"BSMMAT0";2458;9059,510484;314,91093;4,17290448365763;427,120016;4,12483278252659;550,781024;5,06620963155156;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"10";"Bahrain";"Boy";"BSMMAT0";2676;9136,805001;294,907436;4,02929419031995;413,90035;4,98785633479555;562,818686;6,93672177153412;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"11";"Brazil";"Girl";"BSMMAT0";11168;1247291,69561501;261,90637;3,36658908779642;362,535916;2,8800554383164;480,098898;7,03495874034556;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"12";"Brazil";"Boy";"BSMMAT0";11162;1256192,936672;277,677074;3,64487681331291;382,23559;3,04574611938357;508,578836;8,35582157824988;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"13";"Brazil";"<Other>";"BSMMAT0";380;40777,3733;282,711666;15,7070812539951;384,656016;15,4623302874414;509,636266;25,0477362106893;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"14";"Chile";"Girl";"BSMMAT0";2093;114294,286474999;302,269758;4,96783549842327;401,023834;4,2028682350659;511,464024;5,13203616195812;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"15";"Chile";"Boy";"BSMMAT0";2198;121715,552242;319,012142;6,564498223714;427,004364;4,34140442600735;537,545082;5,27106900540905;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"16";"Chile";"<Other>";"BSMMAT0";132;7433,309982;319,259452;21,064424562819;427,62095;17,7376734100921;531,01903;25,6717482557015;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"17";"Chinese Taipei";"Girl";"BSMMAT0";2635;87666,59302;480,164294;6,12687007850226;613,00782;4,11354708064471;717,17445;4,30501014120068;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"18";"Chinese Taipei";"Boy";"BSMMAT0";2896;95090,2367830003;455,650028;6,84331643904282;610,320688;4,38715994139422;725,422652;5,32370068908503;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"19";"Chinese Taipei";"<Other>";"BSMMAT0";1;44,093929;657,905436;NA;657,905436;NA;657,905436;NA;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"20";"Cyprus";"Girl";"BSMMAT0";2069;4728,555619;367,819678;4,09912954855217;495,819756;3,36788633154478;604,826838;5,82465296829291;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"21";"Cyprus";"Boy";"BSMMAT0";2104;4828,251987;373,621952;5,72173914722739;498,76921;4,76852184000349;615,966286;7,24622077391209;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"22";"Czech Republic";"Girl";"BSMMAT0";3967;54484,3400969996;403,964986;3,97272753646358;508,654642;2,78101391378829;614,057324;3,91468274889251;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
"23";"Czech Republic";"Boy";"BSMMAT0";4127;58177,1165549996;419,903342;4,70002242436606;527,284948;3,0042087262612;635,098272;3,48067297141573;"TOTWGT";250;"JRR";"FULL";5;"N";"04-MAR-26";"13h27m";"NONE"
